time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
7542,90112,44,11,61.28,-535.49167074,0.00039295488,0.04674479342938866,884.0545654296875,430,0.2707201838493347,2.2649765014648438e-06,-0.2123351812362671,0.017112292,441.862060546875,-0.004724534019187554,0.3,,
7713,92160,45,11,59.33,-516.3795936500001,0.00039279104000000003,0.042122396850027145,874.3327758789062,440,0.27295392751693726,1.0728836059570312e-06,-0.23335270285606385,0.0071392357,429.5269775390625,-0.0051176177931484546,0.3,,
7872,94208,46,11,65.42,-581.7806252400001,0.0003926272,0.038346354942768814,853.3003356933593,450,0.2745571732521057,-1.1920928955078125e-07,-0.24671593308448792,0.013477925,419.0704040527344,-0.0034406852198300085,0.3,,
8031,96256,47,11,65.6,-573.5250674600001,0.00039246336000000004,0.04772135523380712,778.5387298583985,460,0.2752814292907715,7.3909759521484375e-06,-0.25558465123176577,0.013831492,367.9071350097656,-0.0019652783300262654,0.3,,
8191,98304,48,12,65.65,-567.3243942700001,0.00039229952,0.07338541834615171,809.4798980712891,470,0.27525806427001953,5.185604095458984e-06,-0.2582025408744812,0.011427824,400.3562316894531,-0.007545601981400996,0.3,,
,100000,,,,,0.00039213568,0.04580729320878163,777.7839935302734,480,0.27591991424560547,6.556510925292969e-06,-0.2594833493232727,0.012574015,382.97564697265625,-0.003900807918398641,0.3,-81.92895088456571,19.8
8358,100352,49,12,71.61,-628.95467026,,,,,,,,,,,,,
8519,102400,50,12,69.75,-607.33693093,0.00039197184,0.05022135495091788,684.5896270751953,490,0.27592867612838745,-4.649162292480469e-06,-0.26331608891487124,0.008372907,344.99774169921875,-0.004377955789677835,0.3,,
8688,104448,51,12,70.86,-616.23134631,0.000391808,0.02951822951436043,754.3252899169922,500,0.2774985134601593,3.2782554626464844e-06,-0.26745064854621886,0.008810496,380.2825012207031,-0.005881112952483747,0.3,,
8854,106496,52,12,65.0,-559.10585705,0.00039164416000000003,0.03165364660380874,749.1792175292969,510,0.2789604961872101,5.543231964111328e-06,-0.27969810366630554,0.0076040374,366.53521728515625,-0.00933606695849445,0.3,,
9021,108544,53,12,62.02,-528.25819903,0.00039148032,0.059674480766989293,755.9349578857422,520,0.281413197517395,3.0994415283203125e-06,-0.2918158769607544,0.013336962,372.93017578125,-0.007434191152569847,0.3,,
9185,110592,54,12,63.84,-553.06070022,0.00039131648000000004,0.16674479640787468,735.6865356445312,530,0.2817143201828003,1.7881393432617188e-07,-0.30537275075912473,0.017302215,383.2286376953125,0.0018782876810291781,0.3,,
9372,112640,55,12,57.33,-490.93732757,0.00039115264,0.057552084885537626,621.9921630859375,540,0.28140076994895935,2.384185791015625e-07,-0.30268808007240294,0.015147823,310.1915283203125,-0.0049936979601625355,0.3,,
9537,114688,56,12,61.29,-536.3521375099999,0.00039098880000000005,0.054622397455386815,741.9660095214844,550,0.2838706374168396,2.682209014892578e-06,-0.3085559010505676,0.00875825,381.9762268066406,-0.004551438674570818,0.3,,
9705,116736,57,12,60.97,-530.59204912,0.00039082496,0.026953125244472177,621.236782836914,560,0.28588271141052246,2.5033950805664062e-06,-0.3273751437664032,0.005806665,305.0749206542969,-0.0014752639856305816,0.3,,
9876,118784,58,12,67.85,-594.95308289,0.00039066112,0.03300781329162419,642.1693359375,570,0.2876828908920288,0.0,-0.33944193720817567,0.011026902,338.1136169433594,-0.004863540832884583,0.3,,
,120000,,,,,0.00039049728000000003,0.0747786476276815,708.149560546875,580,0.2864453196525574,-7.62939453125e-06,-0.3448444247245789,0.015423525,341.4428405761719,-0.00681131349076165,0.3,-663.7471811771393,76.2
10111,120832,59,11,65.43,-549.1215457700001,,,,,,,,,,,,,
