time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,eval/mean_ep_length,eval/mean_reward
2118,19436,158.27,0.0003,6.5747761726379395,-6.377806186676025,-71.54627469,19335,9,220,,
2157,19768,160.59,0.0003,3.802680015563965,-5.472647666931152,-68.59810275000001,19667,9,224,,
2241,20469,166.74,0.0003,5.428938865661621,-5.438666820526123,-74.80807098000002,20368,9,228,,
2323,21405,170.52,0.0003,4.558789253234863,-6.449117660522461,-51.02987400000002,21304,9,232,,
2393,22164,153.94,0.0003,6.701014995574951,-6.591624736785889,-35.23130021,22063,9,236,,
2500,23312,158.76,0.0003,3.8723835945129395,-5.755263805389404,-25.885404329999993,23211,9,240,,
2550,23856,161.36,0.0003,3.7862555980682373,-7.491337299346924,-21.657246860000004,23755,9,244,,
2569,24060,154.07,0.0003,3.704528570175171,-6.836601734161377,-2.463029389999999,23959,9,248,,
2602,24312,154.89,0.0003,5.961047649383545,-5.796300411224365,-3.0167761699999995,24211,9,252,,
2676,25096,152.22,0.0003,4.383738040924072,-8.036377906799316,1.3754136100000005,24995,9,256,,
2721,25453,153.2,0.0003,4.315957069396973,-6.978291034698486,3.5638250300000025,25352,9,260,,
2864,26814,159.46,0.0003,3.5654592514038086,-6.41316556930542,1.4769879400000046,26713,9,264,,
2911,27274,157.11,0.0003,5.196137428283691,-7.910253047943115,-5.157301539999995,27173,9,268,,
2980,27962,160.59,0.0003,4.684966564178467,-7.0449137687683105,-5.684527639999996,27861,9,272,,
3067,28644,166.44,0.0003,4.22191858291626,-6.002792835235596,3.0162716400000047,28543,9,276,,
3104,29037,166.22,0.0003,6.891718864440918,-7.3865437507629395,4.879757050000007,28936,9,280,,
3225,30261,172.7,0.0003,4.93769645690918,-9.11384391784668,22.867397990000008,30160,9,284,,
3329,31317,176.48,0.0003,6.634171485900879,-8.142269134521484,25.103695240000008,31216,9,288,,
3399,31964,178.51,0.0003,6.41414737701416,-9.424786567687988,32.91338807,31863,9,292,,
3449,32469,179.4,0.0003,4.407669544219971,-9.817646026611328,38.73669609,32368,9,296,,
3529,33203,171.35,0.0003,5.454207420349121,-8.986366271972656,41.56283999,33102,9,300,,
3577,33666,174.13,0.0003,4.569267272949219,-8.176738739013672,42.703304450000005,33565,9,304,,
3588,33744,164.77,0.0003,3.935441732406616,-9.199712753295898,38.35387911000001,33643,9,308,,
3726,35073,169.7,0.0003,3.3721871376037598,-9.111763954162598,55.541183020000005,34972,9,312,,
3787,35606,169.82,0.0003,5.061413764953613,-9.705034255981445,60.84620473,35505,9,316,,
3873,36304,168.68,0.0003,4.86317253112793,-8.941598892211914,55.112031509999994,36203,9,320,,
3916,36692,169.24,0.0003,2.4653549194335938,-9.920075416564941,55.35462704,36591,9,324,,
3961,37052,165.83,0.0003,6.141782283782959,-8.200935363769531,63.42073071,36951,9,328,,
4054,37913,165.08,0.0003,4.152411460876465,-9.03237533569336,67.3798029,37812,9,332,,
4081,38136,159.72,0.0003,3.8937745094299316,-9.751401901245117,64.65979779999999,38035,9,336,,
4149,38753,154.41,0.0003,4.313422679901123,-9.311996459960938,68.94859281,38652,9,340,,
4252,39705,158.49,0.0003,3.345031499862671,-10.423030853271484,81.80175138,39604,9,344,,
4274,39887,158.27,0.0003,4.341493606567383,-9.736615180969238,78.78710958999999,39786,9,348,,
4402,41057,167.45,0.0003,3.790334701538086,-12.096359252929688,75.82225984,40956,9,352,,
4477,41746,166.5,0.0003,7.475760459899902,-9.878684043884277,77.89220554000002,41645,9,356,,
4545,42446,169.93,0.0003,5.415339469909668,-9.75787353515625,78.60017952,42345,9,360,,
4644,43376,165.62,0.0003,2.9056341648101807,-11.611370086669922,94.99833792999999,43275,9,364,,
4750,44300,170.26,0.0003,5.437779903411865,-9.707561492919922,110.47912738999999,44199,9,368,,
4867,45434,174.72,0.0003,3.058814525604248,-10.265079498291016,120.67395753000001,45333,9,372,,
