train/learning_rate,time/fps,train/ent_coef,train/actor_loss,time/time_elapsed,time/episodes,time/total_timesteps,train/n_updates,train/ent_coef_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0.0001,11,0.07562103867530823,13.57611083984375,2213,672,25272,12585,-1.8640937805175781,31.64008331298828,,
0.0001,11,0.07536749541759491,13.339418411254883,2227,676,25382,12640,-0.27568957209587097,20.506986618041992,,
0.0001,11,0.0750659927725792,14.213296890258789,2237,680,25489,12694,-0.7164183855056763,23.115642547607422,,
0.0001,11,0.07487551867961884,13.793657302856445,2248,684,25609,12754,-0.714239239692688,22.058849334716797,,
0.0001,11,0.07458443194627762,12.601207733154297,2259,688,25731,12815,-0.68808513879776,18.439546585083008,,
0.0001,11,0.07440878450870514,14.053548812866211,2266,692,25801,12850,-0.6243864297866821,23.637033462524414,,
0.0001,11,0.07433906942605972,13.391027450561523,2275,696,25879,12889,-0.03289041668176651,20.674800872802734,,
0.0001,11,0.07412742078304291,13.644678115844727,2321,700,25981,12940,-1.9315978288650513,20.897377014160156,,
0.0001,11,0.07392799854278564,12.280340194702148,2329,704,26050,12974,-1.5140177011489868,21.004234313964844,,
0.0001,11,0.07377652078866959,11.98762321472168,2335,708,26116,13007,-0.9323283433914185,27.110219955444336,,
0.0001,11,0.07346609979867935,14.220212936401367,2348,712,26237,13068,-0.7257637977600098,23.371673583984375,,
0.0001,11,0.07325685769319534,13.504024505615234,2358,716,26329,13114,0.6613985300064087,20.527618408203125,,
0.0001,11,0.07311468571424484,12.710403442382812,2368,720,26422,13160,0.030679620802402496,22.589401245117188,,
0.0001,11,0.07298611849546432,13.114301681518555,2376,724,26500,13199,-1.3913848400115967,18.30266571044922,,
0.0001,11,0.07275539636611938,12.253499984741211,2391,728,26605,13252,-0.442218542098999,21.281612396240234,,
0.0001,11,0.07254637777805328,12.792730331420898,2398,732,26677,13288,-1.5281472206115723,21.938892364501953,,
0.0001,11,0.07231639325618744,12.32779598236084,2407,736,26783,13341,-2.1218466758728027,21.832721710205078,,
0.0001,11,0.07204481214284897,12.333419799804688,2417,740,26879,13389,-1.1773688793182373,21.657581329345703,,
0.0001,11,0.07175085693597794,11.852727890014648,2429,744,27036,13467,-0.347092866897583,17.6788330078125,,
0.0001,11,0.07160472124814987,13.431827545166016,2437,748,27119,13509,-0.7314730882644653,21.09345245361328,,
0.0001,11,0.07138211280107498,12.184778213500977,2451,752,27224,13561,-1.5941591262817383,22.310394287109375,,
0.0001,11,0.0711192786693573,12.889968872070312,2459,756,27308,13603,-1.1686785221099854,19.405181884765625,,
0.0001,11,0.07095663249492645,12.544432640075684,2468,760,27416,13657,-0.4183880686759949,19.507347106933594,,
0.0001,11,0.07070288807153702,11.463592529296875,2477,764,27521,13710,-0.758756160736084,22.690753936767578,,
0.0001,11,0.07057926803827286,13.113548278808594,2486,768,27626,13762,0.5988264083862305,20.140439987182617,,
0.0001,11,0.07034726440906525,12.361038208007812,2496,772,27756,13827,-0.7769939303398132,22.878368377685547,,
0.0001,11,0.07015372812747955,12.095074653625488,2508,776,27835,13867,-1.323900818824768,18.98663902282715,,
0.0001,11,0.06989895552396774,12.514019012451172,2519,780,27968,13933,-1.2591253519058228,20.342063903808594,,
0.0001,11,0.06973891705274582,11.19688606262207,2529,784,28088,13993,0.23360100388526917,25.10235595703125,,
0.0001,11,0.069686159491539,10.239363670349121,2537,788,28174,14036,-0.9107766151428223,22.791015625,,
0.0001,11,0.06945186108350754,10.06800651550293,2548,792,28310,14104,-1.2327489852905273,22.226058959960938,,
0.0001,11,0.06907711178064346,10.900147438049316,2560,796,28472,14185,0.2056112289428711,23.33300018310547,,
0.0001,11,0.06877777725458145,10.728521347045898,2575,800,28585,14242,-1.851288080215454,24.358884811401367,,
0.0001,11,0.06862135231494904,9.911273956298828,2583,804,28680,14289,-0.6360673904418945,18.248455047607422,,
0.0001,11,0.06853228062391281,10.652122497558594,2591,808,28762,14330,-0.5300672054290771,18.704448699951172,,
0.0001,11,0.06838253885507584,11.213205337524414,2598,812,28850,14374,0.08792023360729218,22.10242462158203,,
0.0001,11,0.06815332174301147,10.050137519836426,2610,816,28977,14438,-0.07735484838485718,22.703168869018555,,
0.0001,11,0.06797417253255844,11.24591064453125,2618,820,29074,14486,-0.49431267380714417,21.623239517211914,,
0.0001,11,0.06773519515991211,10.30431842803955,2627,824,29166,14532,-0.21460701525211334,15.666496276855469,,
0.0001,11,0.06758210808038712,10.39053726196289,2642,828,29280,14589,0.5000614523887634,18.790985107421875,,
0.0001,11,0.06744278222322464,10.915327072143555,2651,832,29384,14641,-1.2332499027252197,18.657108306884766,,
0.0001,11,0.06717347353696823,10.217292785644531,2660,836,29497,14698,0.2737433910369873,20.115509033203125,,
0.0001,11,0.0670662373304367,11.103828430175781,2668,840,29593,14746,-0.13509723544120789,17.15908432006836,,
0.0001,11,0.06698045879602432,9.607535362243652,2675,844,29667,14783,-0.7614578008651733,18.143077850341797,,
0.0001,11,0.06683602929115295,9.347198486328125,2684,848,29764,14831,-0.5684837102890015,21.422622680664062,,
0.0001,11,0.06660964339971542,9.826622009277344,2700,852,29892,14895,-1.2275409698486328,23.04730224609375,,
0.0001,11,0.06632215529680252,10.632712364196777,2709,856,30006,14952,-0.24079030752182007,24.021108627319336,,
0.0001,11,0.0660986453294754,10.42533016204834,2717,860,30097,14998,-1.142897605895996,21.20931625366211,,
0.0001,11,0.06594953685998917,11.380043029785156,2723,864,30162,15030,-0.21621710062026978,20.70258903503418,,
0.0001,11,0.06573376804590225,9.957124710083008,2732,868,30264,15081,-1.3055360317230225,15.757373809814453,,
0.0001,11,0.06540630757808685,10.370376586914062,2740,872,30357,15128,-1.0322465896606445,14.945945739746094,,
0.0001,11,0.06515154242515564,9.776363372802734,2752,876,30434,15166,-0.6433153748512268,19.945079803466797,,
0.0001,11,0.06499277055263519,9.64686393737793,2760,880,30526,15212,-0.8178249597549438,21.464035034179688,,
0.0001,11,0.06476543098688126,10.553951263427734,2768,884,30619,15259,-0.4570330083370209,14.329031944274902,,
0.0001,11,0.06460656225681305,11.244179725646973,2777,888,30723,15311,-0.4059101343154907,17.297929763793945,,
0.0001,11,0.06437323987483978,9.549118041992188,2787,892,30838,15368,-0.8112466931343079,16.353260040283203,,
0.0001,11,0.06417987495660782,9.345451354980469,2801,896,31013,15456,-0.6521530747413635,13.657236099243164,,
0.0001,11,0.06407639384269714,9.073692321777344,2813,900,31104,15501,-0.8017641305923462,15.761917114257812,,
0.0001,11,0.064027801156044,7.974536418914795,2821,904,31184,15541,-0.10146889090538025,15.63557243347168,,
0.0001,11,0.06398464739322662,9.420628547668457,2829,908,31273,15586,-0.10959219932556152,18.41986083984375,,
0.0001,11,0.06377795338630676,8.925978660583496,2838,912,31377,15638,-0.8361098766326904,14.5584716796875,,
0.0001,11,0.06353501975536346,8.890085220336914,2850,916,31522,15710,-0.8641625642776489,18.16457748413086,,
0.0001,11,0.0634012445807457,9.355033874511719,2858,920,31622,15760,-0.6198939085006714,15.569112777709961,,
0.0001,11,0.06321001797914505,9.492317199707031,2867,924,31733,15816,-1.044021487236023,16.097713470458984,,
0.0001,11,0.06298420578241348,8.692628860473633,2881,928,31828,15863,-1.1059186458587646,16.005460739135742,,
0.0001,11,0.06287125498056412,8.520757675170898,2887,932,31883,15891,-0.7486448884010315,16.500484466552734,,
0.0001,11,0.06277205795049667,9.393488883972168,2894,936,31954,15926,0.15218454599380493,13.25708293914795,,
0.0001,11,0.06258035451173782,10.424858093261719,2907,940,32102,16000,0.5643531084060669,16.55080795288086,,
0.0001,11,0.06250880658626556,7.88203239440918,2913,944,32160,16029,-1.2609115839004517,18.15055274963379,,
0.0001,11,0.062431611120700836,10.246481895446777,2921,948,32238,16068,-0.7973032593727112,18.909826278686523,,
0.0001,11,0.06215853616595268,8.758805274963379,2938,952,32359,16129,-1.5424429178237915,15.723814010620117,,
0.0001,11,0.061722151935100555,9.714165687561035,2951,956,32510,16204,-0.9467804431915283,15.217477798461914,,
0.0001,11,0.061580441892147064,8.371076583862305,2957,960,32571,16235,0.06190066039562225,18.634601593017578,,
0.0001,11,0.06135115399956703,9.064294815063477,2970,964,32703,16301,-0.024154245853424072,22.312397003173828,,
0.0001,11,0.061260443180799484,9.138666152954102,2976,968,32772,16335,0.09501773864030838,22.536163330078125,,
0.0001,11,0.06126481294631958,9.287687301635742,2981,972,32820,16359,0.1612778753042221,15.773968696594238,,
0.0001,10,0.061154574155807495,9.164546966552734,2997,976,32960,16429,-0.36925211548805237,22.05614471435547,,
