train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
0.00035,4,1177,30.38,5706,-67.86876082,268,8.309513092041016,5605,3.394011974334717,,
0.00035,4,1195,30.57,5806,-67.14806198000001,272,8.559073448181152,5705,3.3337173461914062,,
0.00035,4,1210,30.79,5892,-66.59321871,276,9.117170333862305,5791,2.0001227855682373,,
0.00035,4,1230,30.8,6001,-65.06758590999999,280,8.241220474243164,5900,3.2773077487945557,,
0.00035,4,1244,30.67,6075,-64.19628891,284,9.215740203857422,5974,2.1782193183898926,,
0.00035,4,1257,30.81,6145,-64.07973739,288,9.202028274536133,6044,1.9958910942077637,,
0.00035,4,1276,30.82,6227,-63.02774136000001,292,8.875553131103516,6126,1.8819242715835571,,
0.00035,4,1298,31.38,6351,-61.19912949000001,296,5.962100982666016,6250,1.0741705894470215,,
0.00035,4,1315,31.71,6446,-60.666653909999994,300,8.518243789672852,6345,2.204096794128418,,
0.00035,4,1333,32.3,6554,-60.377170109999994,304,10.110742568969727,6453,1.2267967462539673,,
0.00035,4,1349,32.67,6646,-59.610895819999996,308,9.119908332824707,6545,1.999657392501831,,
0.00035,4,1373,33.41,6789,-58.464056340000006,312,9.929853439331055,6688,2.580216407775879,,
0.00035,4,1395,34.0,6922,-57.53326447000001,316,10.005977630615234,6821,1.1871395111083984,,
0.00035,4,1430,33.98,7095,-52.876923850000004,320,12.210453033447266,6994,1.1679532527923584,,
0.00035,4,1444,33.95,7171,-54.20802493,324,11.665094375610352,7070,0.7316552400588989,,
0.00035,4,1456,33.93,7239,-53.34068937999999,328,14.242101669311523,7138,0.8100448846817017,,
0.00035,4,1483,34.14,7379,-53.14457814999999,332,11.4327974319458,7278,-0.019086197018623352,,
0.00035,4,1507,34.47,7524,-49.87929639,336,12.10816764831543,7423,-0.08466106653213501,,
0.00035,4,1531,33.66,7650,-45.61697811999999,340,11.64693832397461,7549,0.15037091076374054,,
0.00035,4,1556,32.05,7752,-39.054910490000005,344,9.411492347717285,7651,-2.313203811645508,,
0.00035,5,1595,32.29,7984,-33.56226744,348,9.977002143859863,7883,-1.1120678186416626,,
0.00035,5,1614,30.01,8110,-22.99334712,352,11.179162979125977,8009,-1.5104618072509766,,
0.00035,5,1645,29.55,8298,-15.14756896,356,10.463499069213867,8197,-1.7955596446990967,,
0.00035,5,1680,30.99,8525,-13.910016949999997,360,13.250211715698242,8424,-2.078540802001953,,
0.00035,5,1721,31.6,8747,-12.818075560000002,364,16.09693717956543,8646,-3.550790309906006,,
0.00035,5,1823,35.99,9305,-7.640667070000001,368,11.459715843200684,9204,-3.9924659729003906,,
0.00035,5,1898,39.47,9753,-4.770888960000001,372,9.096780776977539,9652,-5.947829723358154,,
0.00035,5,1964,42.7,10162,-5.055950890000001,376,12.020004272460938,10061,-5.674654006958008,,
0.00035,5,2051,46.94,10695,0.9566077400000004,380,8.568321228027344,10594,-5.71475887298584,,
0.00035,5,2138,50.92,11167,4.12857502,384,12.321693420410156,11066,-8.135714530944824,,
0.00035,5,2266,58.24,11969,11.31894325,388,12.64332389831543,11868,-9.476480484008789,,
0.00035,5,2316,60.14,12241,13.032964599999996,392,8.71291446685791,12140,-8.526834487915039,,
0.00035,5,2485,68.81,13232,5.824763079999998,396,10.222315788269043,13131,-10.926666259765625,,
0.00035,5,2706,80.98,14544,11.98061316,400,8.46822452545166,14443,-9.235225677490234,,
0.00035,5,2918,92.51,15805,14.652074490000004,404,8.023164749145508,15704,-11.340282440185547,,
0.00035,5,3178,107.28,17374,15.35967842,408,8.084484100341797,17273,-13.2757568359375,,
0.00035,5,3354,116.01,18390,16.457941860000002,412,9.027008056640625,18289,-14.418641090393066,,
0.00035,5,3619,130.79,20001,24.52526045,416,10.567484855651855,19900,-12.423288345336914,,
0.00035,5,3733,136.13,20708,33.49958469,420,7.30361270904541,20607,-12.89027214050293,,
0.00035,5,4008,152.75,22446,54.593740509999996,424,7.0315375328063965,22345,-13.171632766723633,,
0.00035,5,4254,168.1,24049,74.37064194,428,8.557461738586426,23948,-14.136058807373047,,
0.00035,5,4405,176.25,25004,82.40639082000001,432,4.3150129318237305,24903,-14.87472152709961,,
0.00035,5,4854,202.59,27783,102.2713966,436,8.62203311920166,27682,-14.670241355895996,,
0.00035,5,5183,221.87,29837,137.81993455,440,5.5054755210876465,29736,-16.127548217773438,,
0.00035,5,5259,225.15,30267,141.91038131,444,7.3858232498168945,30166,-15.606626510620117,,
0.00035,5,5498,237.73,31757,153.81056795999996,448,5.818112373352051,31656,-16.340778350830078,,
0.00035,5,5865,259.93,34103,183.87518699000003,452,10.197850227355957,34002,-16.530752182006836,,
0.00035,5,6244,283.01,36599,205.72066117000003,456,10.245034217834473,36498,-17.919994354248047,,
0.00035,5,6509,299.9,38515,200.69441134000002,460,7.42844820022583,38414,-18.016551971435547,,
0.00035,5,6972,327.48,41495,230.16013022000007,464,10.914751052856445,41394,-17.68416404724121,,
0.00035,5,7307,342.61,43566,236.15693358000001,468,9.283919334411621,43465,-17.023012161254883,,
0.00035,5,7647,359.64,45717,245.01563281000003,472,16.168088912963867,45616,-17.207717895507812,,
0.00035,5,7902,371.24,47286,263.3177797,476,9.246630668640137,47185,-17.20599365234375,,
0.00035,5,8073,376.33,48328,266.47040766000003,480,8.75489330291748,48227,-18.627925872802734,,
0.00035,6,8441,396.28,50795,294.70600386999996,484,9.47482681274414,50694,-19.66119384765625,,
0.00035,6,9024,425.63,54532,331.6203989,488,9.266019821166992,54431,-20.24169158935547,,
0.00035,6,9112,428.41,55082,337.79456874000005,492,7.418919563293457,54981,-20.41678810119629,,
0.00035,6,9275,428.98,56130,354.8342683,496,8.985891342163086,56029,-20.553455352783203,,
0.00035,6,9528,432.65,57809,375.69307041,500,9.387199401855469,57708,-20.212520599365234,,
0.00035,6,9764,434.55,59260,394.33440558999996,504,7.566042900085449,59159,-19.873348236083984,,
0.00035,6,10146,443.09,61683,433.6664693,508,10.54935073852539,61582,-20.935077667236328,,
0.00035,6,10297,442.54,62644,445.70616663,512,7.895281791687012,62543,-20.35455894470215,,
0.00035,6,10682,450.52,65053,459.6746434599999,516,11.629775047302246,64952,-21.013187408447266,,
0.00035,6,10871,455.81,66289,468.19281357999995,520,7.225166320800781,66188,-20.595165252685547,,
0.00035,6,11248,461.86,68632,477.382993,524,12.497407913208008,68531,-20.950260162353516,,
0.00035,6,11643,470.22,71071,483.3043415599999,528,7.305265426635742,70970,-24.006385803222656,,
0.00035,6,12123,488.89,73893,519.13259541,532,6.801940441131592,73792,-21.79815673828125,,
0.00035,6,12619,492.37,77020,540.66393145,536,6.071088790893555,76919,-23.358173370361328,,
0.00035,6,12983,493.68,79205,536.85217926,540,9.212615013122559,79104,-22.408302307128906,,
0.00035,6,13528,523.54,82621,575.10998338,544,9.499967575073242,82520,-21.905658721923828,,
0.00035,6,13970,536.01,85358,595.98012619,548,8.936470031738281,85257,-20.953880310058594,,
0.00035,6,14192,526.89,86792,588.30496292,552,7.2075324058532715,86691,-22.977319717407227,,
0.00035,6,14716,535.45,90144,616.91382973,556,6.7164306640625,90043,-22.38162612915039,,
0.00035,6,15221,547.9,93305,670.9515300099999,560,5.981446266174316,93204,-21.55916976928711,,
0.00035,6,16003,552.41,96736,694.95245346,564,5.9926629066467285,96635,-22.16219139099121,,
0.00035,6,16487,559.46,99512,732.12073797,568,4.5600690841674805,99411,-23.869640350341797,,
0.00035,,,,100000,,,5.2487945556640625,99899,-22.730587005615234,2272.8006416,845.2
0.00035,5,17157,552.99,101016,738.4297770400001,572,6.240683555603027,100915,-23.63300323486328,,
0.00035,5,17401,560.31,103317,751.0127105199999,576,7.737011909484863,103216,-22.903915405273438,,
0.00035,6,17765,586.04,106932,810.7157122699999,580,7.323467254638672,106831,-24.88321876525879,,
0.00035,6,17928,576.51,108446,806.91769196,584,7.471585273742676,108345,-23.87874412536621,,
0.00035,6,18154,559.81,110513,800.0293312099999,588,7.979584693908691,110412,-24.95990753173828,,
0.00035,6,18480,588.2,113902,858.9026337600001,592,6.1061859130859375,113801,-23.467287063598633,,
0.00035,6,18692,597.96,115926,869.3280975499998,596,8.605963706970215,115825,-24.4630126953125,,
0.00035,6,18789,591.97,117006,863.3714963999998,600,6.150944709777832,116905,-24.100971221923828,,
0.00035,6,18993,599.46,119206,891.7383524,604,12.122404098510742,119105,-24.12114906311035,,
0.00035,6,19169,593.33,121016,890.7106350800001,608,8.8533296585083,120915,-26.192171096801758,,
0.00035,6,19443,612.32,123876,939.7024967300001,612,7.335582733154297,123775,-24.830703735351562,,
0.00035,6,19775,618.6,126913,983.0257682499999,616,7.354762077331543,126812,-25.9355525970459,,
0.00035,6,20154,640.53,130342,1039.5630831899998,620,5.438999176025391,130241,-26.662904739379883,,
0.00035,6,20415,640.84,132716,1053.96199459,624,6.316871643066406,132615,-26.148000717163086,,
0.00035,6,20548,629.7,134041,1043.04359121,628,5.13648796081543,133940,-26.148380279541016,,
0.00035,6,20900,633.93,137286,1079.15908166,632,5.925298690795898,137185,-26.48668670654297,,
0.00035,6,21092,620.81,139101,1075.7198245900001,636,6.847139358520508,139000,-25.751602172851562,,
0.00035,6,21412,630.06,142211,1101.45139207,640,4.221166133880615,142110,-27.281391143798828,,
0.00035,6,21627,617.19,144340,1099.206509,644,8.824444770812988,144239,-26.357166290283203,,
0.00035,6,21946,622.96,147654,1140.86643133,648,4.4104156494140625,147553,-26.73876953125,,
0.00035,6,22093,623.03,149095,1152.97456676,652,7.008329391479492,148994,-26.43581199645996,,
0.00035,6,22316,610.04,151148,1130.79421218,656,6.333705425262451,151047,-26.877012252807617,,
0.00035,6,22879,613.03,154608,1165.78195322,660,4.806580543518066,154507,-26.6159610748291,,
0.00035,6,23132,602.55,156991,1163.0085058299999,664,5.152517795562744,156890,-27.958045959472656,,
0.00035,6,23481,612.04,160716,1206.6273605200001,668,9.537019729614258,160615,-26.799724578857422,,
0.00035,6,23605,609.44,161960,1214.00350213,672,5.146238803863525,161859,-27.81717300415039,,
0.00035,6,23805,607.17,164034,1229.52673835,676,7.340756416320801,163933,-26.96636390686035,,
0.00035,6,24043,596.59,166591,1220.5687248699999,680,6.100675582885742,166490,-28.330842971801758,,
0.00035,6,24209,598.2,168266,1232.9818688700002,684,4.699582576751709,168165,-26.997650146484375,,
0.00035,6,24519,608.37,171350,1263.26244672,688,4.038225173950195,171249,-26.723339080810547,,
0.00035,7,24832,605.56,174458,1263.92393726,692,3.75736665725708,174357,-27.045055389404297,,
0.00035,7,25041,606.71,176597,1292.86320813,696,3.6821951866149902,176496,-28.197175979614258,,
0.00035,7,25436,633.91,180397,1370.4978691300003,700,3.4058914184570312,180296,-28.60287857055664,,
0.00035,7,25627,630.84,182290,1364.0085485999998,704,3.5770373344421387,182189,-27.66020393371582,,
0.00035,7,25982,647.07,185723,1416.0513894900002,708,3.8332762718200684,185622,-27.792156219482422,,
0.00035,7,26408,658.47,189723,1450.86755854,712,1.958242654800415,189622,-28.82571029663086,,
0.00035,7,26743,661.9,193103,1477.2585703599998,716,5.449929237365723,193002,-28.68868637084961,,
0.00035,7,27167,668.48,197190,1503.69242764,720,2.37288761138916,197089,-28.353490829467773,,
0.00035,,,,200000,,,3.052279472351074,199899,-28.087562561035156,1779.2742144,606.6
0.00035,7,27922,688.87,201603,1571.62338828,724,3.7968733310699463,201502,-29.23202896118164,,
0.00035,7,28161,698.75,203916,1614.0753646900002,728,2.753225326538086,203815,-29.214012145996094,,
0.00035,7,28299,679.19,205205,1565.7394770500002,732,2.526752233505249,205104,-29.6553955078125,,
0.00035,7,28603,690.14,208115,1602.7633861200002,736,4.515422344207764,208014,-28.976917266845703,,
0.00035,7,28919,689.3,211141,1619.4708443800002,740,3.605806350708008,211040,-28.860294342041016,,
0.00035,7,29267,703.27,214667,1657.11081711,744,1.9985158443450928,214566,-29.762388229370117,,
0.00035,7,29532,695.04,217158,1626.55533009,748,2.367709159851074,217057,-28.909780502319336,,
0.00035,7,29810,701.66,219261,1634.91167366,752,10.35023307800293,219160,-28.52655029296875,,
0.00035,7,31044,704.44,221592,1665.0452455400002,756,4.823132514953613,221491,-28.471450805664062,,
0.00035,7,31360,702.35,224843,1651.94902744,760,5.478675365447998,224742,-29.216712951660156,,
0.00035,7,31656,708.17,227808,1674.6196707999998,764,4.935471057891846,227707,-28.837862014770508,,
0.00035,7,31901,694.27,230143,1641.0819345800003,768,6.342037200927734,230042,-29.38068962097168,,
0.00035,7,32277,718.6,233820,1714.94971307,772,2.078866481781006,233719,-28.987224578857422,,
0.00035,7,32572,727.53,236787,1750.91804539,776,1.6563204526901245,236686,-30.019691467285156,,
0.00035,7,32887,728.06,239397,1763.56132451,780,1.9826449155807495,239296,-29.455078125,,
0.00035,7,33187,739.36,242202,1801.01755377,784,3.326154947280884,242101,-28.970611572265625,,
0.00035,7,33370,725.66,243916,1782.06798909,788,2.1528966426849365,243815,-30.08261489868164,,
0.00035,7,33665,722.18,246676,1775.25102587,792,2.073660373687744,246575,-29.480789184570312,,
0.00035,7,33876,721.2,248717,1778.43221161,796,2.3073716163635254,248616,-29.956966400146484,,
0.00035,7,34225,717.04,252101,1771.7908200399997,800,2.1592578887939453,252000,-30.021934509277344,,
0.00035,7,34497,722.88,254578,1783.64744071,804,1.4085962772369385,254477,-29.234600067138672,,
0.00035,7,34909,728.57,258580,1806.60647748,808,1.6312495470046997,258479,-31.00177001953125,,
0.00035,7,35186,715.64,261287,1782.67989512,812,1.5636940002441406,261186,-29.550588607788086,,
0.00035,7,35568,720.85,265188,1809.54134306,816,5.02626371383667,265087,-29.742191314697266,,
0.00035,7,35871,712.12,268402,1796.8754238,820,2.8283004760742188,268301,-30.42855453491211,,
0.00035,7,36201,702.69,271872,1765.5725298199998,824,2.591646194458008,271771,-30.491445541381836,,
0.00035,7,36463,704.85,274401,1762.1067753400002,828,1.2910655736923218,274300,-30.691516876220703,,
0.00035,7,36650,709.71,276176,1763.5144147100002,832,2.2429285049438477,276075,-30.666330337524414,,
0.00035,7,36905,706.22,278737,1751.9855447099999,836,1.9978196620941162,278636,-30.37285614013672,,
0.00035,7,37263,710.61,282202,1769.2530122300002,840,2.6699562072753906,282101,-30.43140411376953,,
0.00035,7,37642,712.1,285877,1791.1427735500004,844,2.587247848510742,285776,-29.427886962890625,,
0.00035,7,38029,726.63,289821,1851.8108875900004,848,1.6298772096633911,289720,-29.713743209838867,,
0.00035,7,38442,745.6,293821,1911.7293168200003,852,6.283048629760742,293720,-29.39879608154297,,
0.00035,7,38789,755.94,297186,1930.5838070199998,856,5.417051792144775,297085,-29.784189224243164,,
0.00035,,,,300000,,,1.679701805114746,299899,-30.538780212402344,2730.3735114,980.6
0.00035,7,39732,765.86,301429,1966.33866591,860,2.156332492828369,301328,-30.763328552246094,,
0.00035,7,39994,761.06,303914,1959.06933744,864,6.1082892417907715,303813,-30.115249633789062,,
0.00035,7,40411,777.74,307917,2012.5916694300001,868,2.409388542175293,307816,-30.473386764526367,,
0.00035,7,40774,776.91,311511,2015.9590267200003,872,3.614175319671631,311410,-30.351810455322266,,
0.00035,7,41054,774.96,314283,2009.8853709900002,876,1.5771675109863281,314182,-30.75829315185547,,
0.00035,7,41405,785.8,317977,2039.0370410500002,880,4.557268142700195,317876,-30.262489318847656,,
0.00035,7,41763,795.78,321780,2074.7075195400002,884,3.099012851715088,321679,-30.130395889282227,,
