train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,time/episodes,eval/mean_reward,eval/mean_ep_length
-15.400814056396484,93.47620265000002,6.529195785522461,2874,34701,34600,12,0.00035,182.84,336,,
-14.980951309204102,92.12580296000002,8.308486938476562,2958,35711,35610,12,0.00035,187.04,340,,
-16.318359375,96.88481599,9.119112968444824,3014,36464,36363,12,0.00035,192.81,344,,
-15.870737075805664,97.69459763,14.107484817504883,3067,37145,37044,12,0.00035,196.37,348,,
-16.53005599975586,96.11426099000002,6.928956985473633,3106,37591,37490,12,0.00035,193.54,352,,
-16.051788330078125,97.82612789999999,10.3441162109375,3125,37812,37711,12,0.00035,193.54,356,,
-16.577316284179688,96.06962285000002,7.43027400970459,3189,38698,38597,12,0.00035,195.4,360,,
-15.860757827758789,95.64069002999999,11.368181228637695,3201,38812,38711,12,0.00035,194.36,364,,
-15.706422805786133,94.76546630000001,7.676152229309082,3240,39259,39158,12,0.00035,191.69,368,,
-18.334144592285156,105.97554700999999,7.897544860839844,3322,40359,40258,12,0.00035,198.48,372,,
-16.584108352661133,108.99054794,6.3142290115356445,3370,40900,40799,12,0.00035,200.36,376,,
-17.560909271240234,108.07108629,6.386732578277588,3393,41185,41084,12,0.00035,199.39,380,,
-16.857467651367188,114.27601731000003,12.350975036621094,3409,41376,41275,12,0.00035,193.1,384,,
-16.442012786865234,125.47480050999998,8.116788864135742,3432,41660,41559,12,0.00035,190.27,388,,
-16.636173248291016,111.67442967000001,11.436172485351562,3461,42029,41928,12,0.00035,180.78,392,,
-19.96637725830078,112.97524067999998,11.455843925476074,3493,42419,42318,12,0.00035,170.67,396,,
-16.545940399169922,111.0849272,11.165130615234375,3520,42695,42594,12,0.00035,169.51,400,,
-16.837303161621094,95.86172034999998,6.239039897918701,3555,43149,43048,12,0.00035,160.72,404,,
-16.560142517089844,95.70936291999999,9.543472290039062,3598,43723,43622,12,0.00035,160.46,408,,
-16.230173110961914,103.21332687,9.068231582641602,3643,44294,44193,12,0.00035,161.62,412,,
-16.872119903564453,119.67694836000001,11.387859344482422,3772,45825,45724,12,0.00035,170.45,416,,
-16.80795669555664,128.81582102000002,6.619273662567139,3850,46809,46708,12,0.00035,173.56,420,,
-16.959781646728516,124.04347398000002,10.438261032104492,3874,47116,47015,12,0.00035,161.91,424,,
-17.13595199584961,120.35451846,5.428934097290039,3923,47642,47541,12,0.00035,148.37,428,,
-17.22919464111328,113.20020306999999,6.272303581237793,3953,47996,47895,12,0.00035,139.08,432,,
-16.59549903869629,111.80997013,13.690065383911133,3991,48437,48336,12,0.00035,137.36,436,,
-17.15627670288086,105.22607049,7.4834113121032715,4000,48532,48431,12,0.00035,128.21,440,,
-17.09678840637207,107.52381789000003,10.530884742736816,4054,49244,49143,12,0.00035,127.8,444,,
-18.743751525878906,104.27058456,13.383810043334961,4106,49856,49755,12,0.00035,127.11,448,,
