train/n_updates,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,time/episodes,eval/mean_reward,eval/mean_ep_length
4209,7.060982704162598,0.49530893564224243,8519,0.07603692263364792,5.024081707000732,8,1037,0.0003,360,,
4293,8.233684539794922,-0.30814409255981445,8688,0.0768745169043541,6.092546463012695,8,1053,0.0003,364,,
4350,7.858305931091309,-0.060037411749362946,8802,0.07728355377912521,6.982500076293945,8,1066,0.0003,368,,
4385,6.81927490234375,0.11651572585105896,8872,0.07748214155435562,6.935967922210693,8,1074,0.0003,372,,
4477,8.864729881286621,0.5206883549690247,9056,0.07872090488672256,8.602221488952637,8,1098,0.0003,376,,
4571,7.885891914367676,0.7287842631340027,9244,0.07950197905302048,5.589758396148682,8,1116,0.0003,380,,
4642,6.910959243774414,-0.10628323256969452,9386,0.07989010959863663,6.300356864929199,8,1130,0.0003,384,,
4701,8.165854454040527,-0.30695658922195435,9503,0.08058416098356247,4.975215435028076,8,1143,0.0003,388,,
4737,7.588128089904785,0.1082555279135704,9576,0.0808066725730896,7.943997383117676,8,1153,0.0003,392,,
4770,8.494839668273926,0.5110332369804382,9642,0.08092990517616272,6.753533363342285,8,1161,0.0003,396,,
4827,7.359920978546143,0.04573541879653931,9755,0.08169829845428467,5.793347358703613,8,1181,0.0003,400,,
4902,6.710201263427734,-0.2554948329925537,9906,0.08198755979537964,4.823757648468018,8,1199,0.0003,404,,
5027,7.230195999145508,-0.3024870753288269,10156,0.08360101282596588,5.386842250823975,8,1222,0.0003,408,,
5129,7.639803886413574,0.2523379921913147,10359,0.08412985503673553,7.208078384399414,8,1242,0.0003,412,,
5271,7.890932559967041,-0.10438206046819687,10643,0.08539843559265137,7.08212947845459,8,1270,0.0003,416,,
5324,6.548548698425293,1.062373399734497,10749,0.08575039356946945,7.010141372680664,8,1282,0.0003,420,,
5484,7.174531936645508,-0.1709972470998764,11069,0.08707406371831894,6.116850852966309,8,1310,0.0003,424,,
5523,7.212255001068115,0.06520240008831024,11148,0.0874180719256401,6.437591075897217,8,1325,0.0003,428,,
5564,7.281844139099121,0.43899378180503845,11230,0.08768049627542496,5.605110168457031,8,1335,0.0003,432,,
5627,7.270445346832275,0.013326823711395264,11355,0.08817872405052185,6.620508670806885,8,1348,0.0003,436,,
5675,7.461118698120117,0.24848924577236176,11451,0.08863677084445953,5.2990617752075195,8,1359,0.0003,440,,
5811,7.650016784667969,0.5017767548561096,11723,0.08996929973363876,5.182572364807129,8,1385,0.0003,444,,
5904,6.128215789794922,-0.030256837606430054,11910,0.09060035645961761,5.9058427810668945,8,1403,0.0003,448,,
5954,6.045576572418213,-0.02897542715072632,12010,0.09124522656202316,5.917940139770508,8,1421,0.0003,452,,
6087,7.112704277038574,0.851082980632782,12276,0.09315266460180283,6.853428363800049,8,1448,0.0003,456,,
6188,6.820033073425293,0.0605960488319397,12477,0.09383802115917206,8.047321319580078,8,1469,0.0003,460,,
6303,6.833919525146484,-0.008421942591667175,12707,0.09604094922542572,7.043696403503418,8,1494,0.0003,464,,
6337,6.359394073486328,0.10247799754142761,12776,0.09659861773252487,7.824356555938721,8,1502,0.0003,468,,
6512,5.964539527893066,0.010815121233463287,13125,0.09819810092449188,6.064838409423828,8,1535,0.0003,472,,
6591,5.537454605102539,-0.41257092356681824,13284,0.09850944578647614,5.325479507446289,8,1558,0.0003,476,,
6630,5.722452163696289,0.08071506023406982,13361,0.09865434467792511,5.39892053604126,8,1566,0.0003,480,,
6676,5.8417158126831055,-0.39364591240882874,13454,0.09923092275857925,7.607877731323242,8,1575,0.0003,484,,
6737,5.503216743469238,0.01945725828409195,13575,0.09969690442085266,5.924142837524414,8,1588,0.0003,488,,
6785,5.742455959320068,-0.0831182599067688,13671,0.10024580359458923,6.493244171142578,8,1598,0.0003,492,,
6875,5.377054214477539,-0.266379714012146,13852,0.10043905675411224,6.86967658996582,8,1615,0.0003,496,,
6918,6.239328861236572,-0.6465303301811218,13938,0.10077346861362457,7.310110569000244,8,1630,0.0003,500,,
6986,6.759544372558594,0.7522382736206055,14074,0.10018379986286163,8.14755630493164,8,1645,0.0003,504,,
7059,7.251944541931152,0.6293582916259766,14220,0.10025753080844879,6.67951774597168,8,1661,0.0003,508,,
7264,5.372766494750977,0.2534732520580292,14630,0.10161175578832626,6.922184467315674,8,1700,0.0003,512,,
7350,6.385438919067383,-0.18173255026340485,14801,0.10144410282373428,5.7743024826049805,8,1718,0.0003,516,,
7403,6.086687088012695,0.12700709700584412,14907,0.10141675174236298,6.52199649810791,8,1729,0.0003,520,,
7502,5.8324174880981445,-0.1240958422422409,15106,0.10147450864315033,7.575287818908691,8,1749,0.0003,524,,
7622,3.65356183052063,-0.20450706779956818,15345,0.10182174295186996,5.482818603515625,8,1777,0.0003,528,,
7711,4.857541084289551,0.4474470615386963,15524,0.10200969129800797,5.416728973388672,8,1795,0.0003,532,,
7785,5.3225202560424805,0.17832058668136597,15672,0.10257614403963089,8.904991149902344,8,1813,0.0003,536,,
7878,5.354902267456055,0.35716259479522705,15858,0.10335610806941986,7.562644004821777,8,1834,0.0003,540,,
7982,4.655608177185059,0.1876358687877655,16066,0.10451050847768784,5.82610559463501,8,1857,0.0003,544,,
8143,4.961644172668457,0.41891220211982727,16388,0.10684214532375336,5.308785915374756,8,1884,0.0003,548,,
8183,4.505339622497559,0.0720733180642128,16468,0.10718163102865219,6.672900199890137,8,1928,0.0003,552,,
8285,4.411805152893066,0.6586922407150269,16672,0.10862599313259125,4.913252830505371,8,1946,0.0003,556,,
8339,4.577008247375488,0.18205738067626953,16780,0.10919621586799622,7.730537414550781,8,1958,0.0003,560,,
8478,4.413731575012207,0.10606174170970917,17057,0.11157617717981339,8.321573257446289,8,1981,0.0003,564,,
8604,3.712470531463623,0.5743554830551147,17310,0.11208801716566086,6.758573532104492,8,2003,0.0003,568,,
8749,4.849250793457031,0.3841606378555298,17600,0.11366741359233856,5.044501304626465,8,2029,0.0003,572,,
8852,3.6031742095947266,-0.6581360101699829,17806,0.11375074833631516,6.673554420471191,8,2053,0.0003,576,,
8937,5.09892463684082,0.3124302625656128,17975,0.11299127340316772,7.128847122192383,8,2070,0.0003,580,,
9142,4.440814018249512,-0.05546184256672859,18386,0.11241599172353745,5.852210998535156,8,2107,0.0003,584,,
9242,3.2552599906921387,-0.2685736417770386,18585,0.11199810355901718,4.626380920410156,8,2128,0.0003,588,,
