rollout/ep_len_mean,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/fps,time/episodes,train/critic_loss,eval/mean_reward,eval/mean_ep_length
15.94,9.728190422058105,3997,4098,-26.43574834,592,0.0003,6,256,7.1241679191589355,,
16.11,10.162115097045898,4070,4171,-26.28999771,601,0.0003,6,260,6.1790571212768555,,
15.9,10.149819374084473,4131,4232,-26.128007249999996,609,0.0003,6,264,9.457958221435547,,
15.64,11.637353897094727,4178,4279,-25.816756820000005,616,0.0003,6,268,7.525662899017334,,
15.69,10.178448677062988,4227,4328,-25.90627549,623,0.0003,6,272,7.9223222732543945,,
15.37,11.847940444946289,4293,4394,-25.362031869999996,638,0.0003,6,276,11.197854042053223,,
15.35,11.048849105834961,4359,4460,-25.418721849999997,647,0.0003,6,280,7.050830841064453,,
15.25,11.323596954345703,4424,4525,-25.71470203999999,656,0.0003,6,284,7.2150115966796875,,
15.34,10.562171936035156,4486,4587,-27.257560219999995,664,0.0003,6,288,5.939550876617432,,
15.46,10.648322105407715,4556,4657,-28.07015545,672,0.0003,6,292,7.637566566467285,,
15.39,11.07640552520752,4619,4720,-27.93660424,681,0.0003,6,296,8.202760696411133,,
15.43,10.4597806930542,4663,4764,-28.634155380000006,693,0.0003,6,300,6.961599349975586,,
15.48,10.061084747314453,4723,4824,-29.719020069999996,701,0.0003,6,304,7.75241756439209,,
15.66,11.541633605957031,4812,4913,-31.944786340000004,712,0.0003,6,308,9.859967231750488,,
15.69,9.966022491455078,4873,4974,-32.15272773,721,0.0003,6,312,10.230045318603516,,
15.86,11.490922927856445,4945,5046,-34.69219204,729,0.0003,6,316,11.97323989868164,,
15.82,9.790306091308594,4991,5092,-35.56736289,736,0.0003,6,320,8.89775276184082,,
15.77,9.396114349365234,5040,5141,-36.38281155,743,0.0003,6,324,9.135397911071777,,
15.83,11.223934173583984,5100,5201,-36.434147200000005,756,0.0003,6,328,9.48759937286377,,
15.68,10.245798110961914,5148,5249,-35.29251669999999,762,0.0003,6,332,6.744245529174805,,
15.83,11.026107788085938,5213,5314,-34.13370463,771,0.0003,6,336,6.968262672424316,,
15.87,10.042364120483398,5270,5371,-33.81941570999999,778,0.0003,6,340,13.234500885009766,,
16.0,10.954111099243164,5350,5451,-32.366621079999994,787,0.0003,6,344,8.348112106323242,,
16.09,10.249404907226562,5408,5509,-31.279297119999995,795,0.0003,6,348,6.396624565124512,,
15.63,10.885345458984375,5468,5569,-30.160453389999997,807,0.0003,6,352,5.763702869415283,,
15.22,10.940570831298828,5519,5620,-29.33097042,813,0.0003,6,356,6.167465686798096,,
15.16,9.991460800170898,5586,5687,-29.75233682,820,0.0003,6,360,6.2281951904296875,,
15.19,11.446187973022461,5650,5751,-29.425555680000002,828,0.0003,6,364,8.068649291992188,,
15.28,12.656805038452148,5706,5807,-29.630793759999996,834,0.0003,6,368,8.992788314819336,,
15.56,10.93429183959961,5783,5884,-30.048223410000002,843,0.0003,6,372,8.16901969909668,,
15.49,10.035751342773438,5842,5943,-29.440560849999997,856,0.0003,6,376,6.819417953491211,,
15.77,11.071535110473633,5936,6037,-30.58297828,868,0.0003,6,380,5.539573669433594,,
15.79,11.428839683532715,6003,6104,-31.4106685,877,0.0003,6,384,8.959466934204102,,
15.67,11.42686939239502,6053,6154,-31.568675810000006,885,0.0003,6,388,6.868016242980957,,
15.56,10.696134567260742,6112,6213,-32.04984762,892,0.0003,6,392,7.351299285888672,,
15.48,10.883880615234375,6167,6268,-32.52868151,899,0.0003,6,396,7.6445770263671875,,
15.49,9.864102363586426,6212,6313,-32.35453623,912,0.0003,6,400,10.08633041381836,,
15.44,11.249221801757812,6267,6368,-31.637789449999996,919,0.0003,6,404,10.015801429748535,,
15.28,11.073418617248535,6340,6441,-29.228868849999998,927,0.0003,6,408,6.964255332946777,,
15.32,12.326284408569336,6405,6506,-28.99320457,937,0.0003,6,412,6.994370937347412,,
15.21,11.619682312011719,6466,6567,-26.791597890000002,945,0.0003,6,416,7.693413734436035,,
15.27,10.385910034179688,6518,6619,-26.14755547,952,0.0003,6,420,7.632430553436279,,
15.5,10.194345474243164,6590,6691,-25.1967915,961,0.0003,6,424,7.704755783081055,,
15.52,9.862652778625488,6652,6753,-25.655045450000003,975,0.0003,6,428,6.782841682434082,,
15.52,10.937646865844727,6700,6801,-26.2972962,981,0.0003,6,432,6.637422561645508,,
15.61,11.559305191040039,6774,6875,-28.93877134,991,0.0003,6,436,9.836116790771484,,
16.03,10.617359161376953,6873,6974,-31.924127790000004,1003,0.0003,6,440,8.20505142211914,,
15.8,10.582843780517578,6930,7031,-31.972801299999997,1011,0.0003,6,444,6.655318260192871,,
15.91,11.404182434082031,6999,7100,-33.24809922,1020,0.0003,6,448,6.368653297424316,,
15.74,11.548416137695312,7042,7143,-33.49227276,1032,0.0003,6,452,9.213224411010742,,
15.86,11.460868835449219,7105,7206,-33.48262536,1039,0.0003,6,456,6.397643566131592,,
15.76,11.443765640258789,7162,7263,-32.716613509999995,1046,0.0003,6,460,7.252218246459961,,
15.84,11.145637512207031,7234,7335,-33.14665448,1055,0.0003,6,464,6.664835453033447,,
15.99,10.992380142211914,7305,7406,-32.55086895,1063,0.0003,6,468,7.050868511199951,,
15.99,11.05969524383545,7382,7483,-32.48413545999999,1072,0.0003,6,472,8.936256408691406,,
15.96,9.918102264404297,7438,7539,-32.636044940000005,1114,0.0003,6,476,5.783998489379883,,
15.59,11.21548843383789,7495,7596,-32.814815519999996,1122,0.0003,6,480,8.906686782836914,,
15.56,12.371335983276367,7559,7660,-32.02894964,1130,0.0003,6,484,6.259849548339844,,
15.64,10.638345718383789,7617,7718,-31.314951109999992,1139,0.0003,6,488,9.230178833007812,,
15.56,12.002111434936523,7668,7769,-31.135919149999996,1146,0.0003,6,492,6.273212432861328,,
15.68,10.76796817779541,7735,7836,-31.61414169,1155,0.0003,6,496,9.419633865356445,,
15.8,12.338674545288086,7792,7893,-32.14168695,1168,0.0003,6,500,8.677238464355469,,
15.96,11.183917999267578,7863,7964,-33.10527078,1178,0.0003,6,504,9.63847827911377,,
15.77,9.892915725708008,7917,8018,-33.175976420000005,1186,0.0003,6,508,7.7201995849609375,,
15.72,11.722634315490723,7977,8078,-33.03955978,1194,0.0003,6,512,7.762401580810547,,
15.63,12.223878860473633,8029,8130,-33.72639962,1202,0.0003,6,516,10.701179504394531,,
15.61,10.263527870178223,8079,8180,-34.242228999999995,1209,0.0003,6,520,5.9818806648254395,,
15.51,12.102426528930664,8141,8242,-35.511803099999995,1217,0.0003,6,524,6.947475433349609,,
15.43,12.640504837036133,8195,8296,-34.82619718,1232,0.0003,6,528,9.804122924804688,,
15.44,10.839643478393555,8244,8345,-34.13534216,1239,0.0003,6,532,5.705003261566162,,
15.44,11.515233993530273,8318,8419,-31.658933500000003,1250,0.0003,6,536,6.642031669616699,,
15.01,11.693891525268555,8374,8475,-29.066506439999998,1258,0.0003,6,540,6.623586177825928,,
15.06,12.468175888061523,8436,8537,-28.844189129999997,1266,0.0003,6,544,6.710666656494141,,
14.97,11.117753982543945,8496,8597,-28.033567329999997,1275,0.0003,6,548,9.21379566192627,,
14.96,11.557944297790527,8538,8639,-27.663026650000003,1287,0.0003,6,552,7.9641618728637695,,
14.93,12.049474716186523,8598,8699,-28.13596096,1296,0.0003,6,556,9.446128845214844,,
14.81,10.799424171447754,8643,8744,-29.00748575,1302,0.0003,6,560,7.803162097930908,,
14.89,9.975997924804688,8723,8824,-29.61017778,1313,0.0003,6,564,5.830386638641357,,
14.83,11.229349136352539,8788,8889,-31.217583749999996,1321,0.0003,6,568,8.356929779052734,,
14.62,13.2897367477417,8844,8945,-30.990734680000006,1329,0.0003,6,572,10.110067367553711,,
14.63,11.568632125854492,8901,9002,-31.155768030000004,1342,0.0003,6,576,7.777133941650391,,
14.57,11.728071212768555,8952,9053,-30.047063629999997,1348,0.0003,6,580,7.701291084289551,,
14.54,11.895319938659668,9013,9114,-29.638417339999997,1356,0.0003,6,584,8.290188789367676,,
14.58,11.685996055603027,9075,9176,-28.8048319,1364,0.0003,6,588,8.05981731414795,,
14.67,11.476690292358398,9135,9236,-27.8285013,1371,0.0003,6,592,8.792891502380371,,
14.53,11.241569519042969,9188,9289,-26.642654609999994,1377,0.0003,6,596,7.567483901977539,,
14.47,10.320954322814941,9239,9340,-25.920628729999997,1390,0.0003,6,600,8.185381889343262,,
14.36,10.077945709228516,9299,9400,-24.987371789999997,1397,0.0003,6,604,7.343991279602051,,
14.34,11.723234176635742,9351,9452,-24.70033165,1404,0.0003,6,608,9.603235244750977,,
14.36,12.06657600402832,9413,9514,-25.16942987,1411,0.0003,6,612,7.0318498611450195,,
14.41,9.140645980834961,9470,9571,-24.135730019999997,1417,0.0003,6,616,6.516252517700195,,
14.46,10.725235939025879,9525,9626,-23.13530436,1425,0.0003,6,620,7.004486083984375,,
14.38,11.513392448425293,9579,9680,-21.90700502,1432,0.0003,6,624,7.4977126121521,,
14.43,9.983968734741211,9638,9739,-22.587834969999996,1445,0.0003,6,628,11.609865188598633,,
14.57,11.32217025756836,9701,9802,-23.365175999999998,1453,0.0003,6,632,8.774545669555664,,
14.66,10.650800704956055,9784,9885,-24.97014158,1463,0.0003,6,636,6.526490211486816,,
14.65,11.141186714172363,9839,9940,-25.106556169999998,1472,0.0003,6,640,10.317146301269531,,
14.67,9.555679321289062,9903,10004,-25.647989000000003,1480,0.0003,6,644,6.577364921569824,,
14.79,10.828710556030273,9975,10076,-25.60719613,1489,0.0003,6,648,8.698808670043945,,
14.97,10.78427505493164,10035,10136,-25.835816250000004,1504,0.0003,6,652,8.918662071228027,,
14.87,9.524154663085938,10085,10186,-25.739735119999995,1510,0.0003,6,656,6.1429948806762695,,
15.09,12.07872200012207,10152,10253,-25.67725572,1519,0.0003,6,660,8.051858901977539,,
14.84,11.426977157592773,10207,10308,-24.98741343,1527,0.0003,6,664,10.7533540725708,,
14.78,10.795969009399414,10266,10367,-23.26056693,1534,0.0003,6,668,7.445858001708984,,
14.92,10.349197387695312,10336,10437,-23.847897590000002,1543,0.0003,6,672,7.051623344421387,,
14.92,10.212516784667969,10393,10494,-23.780387110000003,1556,0.0003,6,676,6.799160480499268,,
15.12,10.21171760559082,10464,10565,-25.350793600000003,1566,0.0003,6,680,6.24995231628418,,
15.03,10.454407691955566,10516,10617,-26.769991410000006,1574,0.0003,6,684,8.248291015625,,
14.98,11.15355110168457,10573,10674,-27.969984130000004,1581,0.0003,6,688,8.066598892211914,,
14.92,10.865129470825195,10627,10728,-29.37759403,1588,0.0003,6,692,8.136650085449219,,
14.94,9.771157264709473,10682,10783,-29.68384745,1596,0.0003,6,696,4.389474868774414,,
14.96,12.364822387695312,10735,10836,-30.15261778,1610,0.0003,6,700,5.7206196784973145,,
15.02,10.988367080688477,10801,10902,-30.013274780000003,1618,0.0003,6,704,5.994400978088379,,
15.06,11.014402389526367,10857,10958,-30.26644958,1625,0.0003,6,708,4.862112998962402,,
15.05,11.65910530090332,10918,11019,-29.528210230000003,1633,0.0003,6,712,7.707083702087402,,
14.98,10.616188049316406,10968,11069,-29.88053759,1640,0.0003,6,716,6.772047519683838,,
15.14,10.461429595947266,11039,11140,-30.927512619999998,1649,0.0003,6,720,5.622890472412109,,
15.27,11.606090545654297,11106,11207,-31.31731726,1658,0.0003,6,724,6.079100131988525,,
15.26,9.955814361572266,11164,11265,-30.9570834,1671,0.0003,6,728,4.7062835693359375,,
15.18,10.286262512207031,11219,11320,-30.353773369999995,1678,0.0003,6,732,4.207414627075195,,
14.9,11.657058715820312,11274,11375,-28.372016640000002,1685,0.0003,6,736,7.281614303588867,,
14.88,10.091460227966309,11327,11428,-27.75138251,1692,0.0003,6,740,7.290352821350098,,
14.87,9.959839820861816,11390,11491,-26.76119643,1699,0.0003,6,744,5.627068519592285,,
14.66,10.776639938354492,11441,11542,-26.496835790000006,1706,0.0003,6,748,4.888073921203613,,
14.65,10.412914276123047,11500,11601,-26.134676360000004,1719,0.0003,6,752,8.39256477355957,,
14.67,11.057489395141602,11552,11653,-27.0836097,1726,0.0003,6,756,5.623119354248047,,
14.55,11.403722763061523,11607,11708,-26.903551470000004,1733,0.0003,6,760,7.2971673011779785,,
