rollout/ep_rew_mean,train/actor_loss,train/n_updates,time/episodes,train/learning_rate,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,eval/mean_ep_length,eval/mean_reward
-28.275268110000003,11.29426383972168,12227,824,0.0002,1733,7,12328,14.35,6.902765274047852,,
-28.882936369999996,10.775392532348633,12279,828,0.0002,1747,7,12380,14.13,6.959636211395264,,
-28.9226308,10.888622283935547,12349,832,0.0002,1754,7,12450,14.26,8.08495044708252,,
-28.589464440000008,10.106362342834473,12409,836,0.0002,1762,7,12510,14.41,6.319326400756836,,
-28.765514619999998,11.33012866973877,12474,840,0.0002,1770,7,12575,14.46,8.236329078674316,,
-28.15628851,11.282305717468262,12537,844,0.0002,1778,7,12638,14.55,6.560943603515625,,
-27.95315162,10.380516052246094,12586,848,0.0002,1784,7,12687,14.43,11.406373977661133,,
-27.912076850000002,11.155667304992676,12637,852,0.0002,1797,7,12738,14.39,6.221040725708008,,
-29.020368360000003,10.794599533081055,12702,856,0.0002,1804,7,12803,14.53,7.8009514808654785,,
-29.4377176,12.1466064453125,12772,860,0.0002,1812,7,12873,14.53,5.988585472106934,,
-29.92241319,11.39281940460205,12839,864,0.0002,1820,7,12940,14.72,5.430816650390625,,
-30.810054830000002,9.992621421813965,12916,868,0.0002,1828,7,13017,14.8,6.636437892913818,,
-30.660256140000005,11.630685806274414,12967,872,0.0002,1834,7,13068,14.61,6.932291507720947,,
-30.30936974,11.410975456237793,13032,876,0.0002,1848,7,13133,14.66,7.489528179168701,,
-29.849034000000007,11.22076416015625,13098,880,0.0002,1856,7,13199,14.74,6.441061019897461,,
-29.709234659999996,11.149944305419922,13146,884,0.0002,1862,7,13247,14.63,5.057598114013672,,
-29.53390365,11.031097412109375,13211,888,0.0002,1870,7,13312,14.79,6.225983619689941,,
-28.667448550000007,10.807151794433594,13264,892,0.0002,1877,7,13365,14.76,6.103592872619629,,
-26.921894810000005,10.900318145751953,13322,896,0.0002,1885,7,13423,14.82,6.137133598327637,,
-25.82797994,11.972611427307129,13375,900,0.0002,1898,7,13476,14.56,10.34341812133789,,
-25.50204438,11.36832332611084,13434,904,0.0002,1905,7,13535,14.71,6.12109375,,
-24.736357279999996,10.881786346435547,13497,908,0.0002,1912,7,13598,14.79,5.219742298126221,,
-24.348109510000004,10.148508071899414,13551,912,0.0002,1919,7,13652,14.84,8.190784454345703,,
-23.485245159999998,10.588726043701172,13614,916,0.0002,1926,7,13715,14.86,5.718314170837402,,
-22.821694799999996,11.449317932128906,13669,920,0.0002,1933,7,13770,14.91,10.237676620483398,,
-24.12438806,10.407661437988281,13760,924,0.0002,1942,7,13861,15.33,8.691474914550781,,
-24.11762112,10.910808563232422,13832,928,0.0002,1956,7,13933,15.53,6.584524631500244,,
-25.305696459999993,10.094890594482422,13897,932,0.0002,1964,7,13998,15.48,5.246449947357178,,
-26.60814183,11.772476196289062,13956,936,0.0002,1972,7,14057,15.47,8.84106731414795,,
-26.680334279999997,11.165885925292969,14007,940,0.0002,1979,7,14108,15.33,6.581160545349121,,
-27.615399949999997,11.602465629577637,14079,944,0.0002,1987,7,14180,15.42,7.326259613037109,,
-28.35823245,10.91529369354248,14147,948,0.0002,1995,7,14248,15.61,7.477972507476807,,
-29.10034815,10.55500602722168,14197,952,0.0002,2007,7,14298,15.6,8.904606819152832,,
-28.251251819999997,11.030622482299805,14242,956,0.0002,2013,7,14343,15.4,7.630951404571533,,
-28.400928189999995,10.813692092895508,14295,960,0.0002,2021,7,14396,15.23,7.228604793548584,,
-28.587151959999993,11.959966659545898,14344,964,0.0002,2028,7,14445,15.05,7.520218372344971,,
-28.690402820000003,11.075831413269043,14405,968,0.0002,2035,7,14506,14.89,4.362674713134766,,
-29.64457298,10.761380195617676,14457,972,0.0002,2042,7,14558,14.9,7.28434419631958,,
-29.57652548,10.176301956176758,14500,976,0.0002,2084,7,14601,14.68,6.563780784606934,,
-30.967653080000005,11.366981506347656,14561,980,0.0002,2091,7,14662,14.63,6.01785945892334,,
-31.603651419999995,11.793664932250977,14619,984,0.0002,2099,7,14720,14.73,9.670902252197266,,
-32.20706823,11.560657501220703,14670,988,0.0002,2105,7,14771,14.59,6.16244649887085,,
