time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,eval/mean_ep_length,eval/mean_reward
382467,-0.05647837370634079,-18.181137084960938,644,0.10426200181245804,191183,0.0003,10,36530,0.8060158491134644,,
385486,0.17018412053585052,-19.019092559814453,648,0.10438830405473709,192692,0.0003,10,36822,1.6998209953308105,,
389486,0.2666725814342499,-19.038116455078125,652,0.10656170547008514,194692,0.0003,10,37201,1.9703493118286133,,
393486,0.34281790256500244,-18.66812515258789,656,0.10151278972625732,196692,0.0003,10,37592,1.048821210861206,,
397022,-0.30877038836479187,-17.126209259033203,660,0.10193551331758499,198460,0.0003,10,37938,1.2655861377716064,,
400000,-0.46399131417274475,-17.2123966217041,,0.10132044553756714,199949,0.0003,,,1.2466380596160889,1000.0,2951.6876166002885
400031,0.07890410721302032,-18.560630798339844,664,0.10098293423652649,199965,0.0003,10,38668,8.112818717956543,,
404031,0.22598795592784882,-18.230525970458984,668,0.10086575150489807,201965,0.0003,10,39034,0.4883577227592468,,
407135,0.42994844913482666,-18.211620330810547,672,0.09928151965141296,203517,0.0003,10,39322,1.0391936302185059,,
410457,-0.18289153277873993,-18.335723876953125,676,0.10146251320838928,205178,0.0003,10,39657,1.6137927770614624,,
414457,-0.24566110968589783,-18.914905548095703,680,0.10378780215978622,207178,0.0003,10,39989,3.6188950538635254,,
418457,-0.0790795311331749,-18.87228012084961,684,0.10407029837369919,209178,0.0003,10,40316,0.8173197507858276,,
422457,0.1917700618505478,-19.142253875732422,688,0.10046812891960144,211178,0.0003,10,40647,0.9077204465866089,,
426457,0.5114171504974365,-19.024845123291016,692,0.1072491928935051,213178,0.0003,10,40971,4.502655029296875,,
430457,-0.09770779311656952,-16.699501037597656,696,0.10359857976436615,215178,0.0003,10,41335,1.4306514263153076,,
434457,0.10821536183357239,-18.27130126953125,700,0.10155215859413147,217178,0.0003,10,41685,1.9203500747680664,,
438457,-0.2673729658126831,-18.392929077148438,704,0.09902893751859665,219178,0.0003,10,42072,0.685880184173584,,
442457,0.30826932191848755,-18.271968841552734,708,0.09882435947656631,221178,0.0003,10,42470,3.3507678508758545,,
446457,-0.2200895994901657,-19.131942749023438,712,0.09657294303178787,223178,0.0003,10,42851,0.8686544299125671,,
450457,-0.0976095199584961,-18.404678344726562,716,0.10035216808319092,225178,0.0003,10,43225,0.5738478899002075,,
454457,0.4477718770503998,-19.629289627075195,720,0.09924175590276718,227178,0.0003,10,43598,1.1846630573272705,,
458457,-0.10810497403144836,-17.81223487854004,724,0.09736588597297668,229178,0.0003,10,43968,0.6923068165779114,,
462457,0.5127261281013489,-19.412822723388672,728,0.09778408706188202,231178,0.0003,10,44343,0.9640603065490723,,
466457,0.0247209370136261,-18.422672271728516,732,0.0979648232460022,233178,0.0003,10,44716,4.260525703430176,,
469475,-0.14100250601768494,-18.809795379638672,736,0.09601002186536789,234687,0.0003,10,44997,0.6653897166252136,,
473475,-0.3750118613243103,-18.110042572021484,740,0.09777166694402695,236687,0.0003,10,45369,2.837301254272461,,
477475,0.03450426459312439,-18.343120574951172,744,0.09808506071567535,238687,0.0003,10,45749,2.548002243041992,,
481475,-0.4094831347465515,-20.17084503173828,748,0.09586992114782333,240687,0.0003,10,46135,1.3623403310775757,,
485475,0.41481447219848633,-20.18852996826172,752,0.09787999838590622,242687,0.0003,10,46517,1.864336609840393,,
489341,0.08728459477424622,-19.69652557373047,756,0.09481170028448105,244620,0.0003,10,46880,0.6873326301574707,,
493100,-0.03487834334373474,-21.028614044189453,760,0.09668342769145966,246499,0.0003,10,47236,0.8037713766098022,,
497100,0.4582209587097168,-19.68038558959961,764,0.10030864924192429,248499,0.0003,10,47612,1.7117342948913574,,
500000,0.15298128128051758,-17.703378677368164,,0.09726773947477341,249949,0.0003,,,1.709242820739746,1000.0,3001.2441531877967
501000,-0.2323738932609558,-18.436885833740234,768,0.09665480256080627,250449,0.0003,10,48427,4.459983825683594,,
505000,-0.15391796827316284,-18.15943145751953,772,0.0967460572719574,252449,0.0003,10,48797,2.3110299110412598,,
509000,-0.6921923160552979,-17.465879440307617,776,0.0941675454378128,254449,0.0003,10,49176,0.49554145336151123,,
513000,0.07186278700828552,-20.20425796508789,780,0.09144523739814758,256449,0.0003,10,49558,0.8183959722518921,,
517000,-0.33338141441345215,-19.050464630126953,784,0.09410225600004196,258449,0.0003,10,49923,3.3086304664611816,,
520018,0.6525837182998657,-20.628162384033203,788,0.09459751844406128,259958,0.0003,10,50208,0.6789461374282837,,
524018,0.18428748846054077,-19.909154891967773,792,0.09417104721069336,261958,0.0003,10,50583,0.579584002494812,,
528018,0.03653642535209656,-21.750112533569336,796,0.09259320795536041,263958,0.0003,10,50940,0.5610554218292236,,
532018,0.10194811224937439,-19.922874450683594,800,0.09299074113368988,265958,0.0003,10,51258,0.8709917068481445,,
536018,-0.2865321636199951,-19.96307373046875,804,0.09144126623868942,267958,0.0003,10,51570,1.1302547454833984,,
540018,-0.2380063235759735,-19.680736541748047,808,0.09151531755924225,269958,0.0003,10,51887,1.4268102645874023,,
543038,-0.11201193183660507,-20.685935974121094,812,0.09181356430053711,271468,0.0003,10,52125,3.116485357284546,,
