rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/learning_rate,train/critic_loss,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
2313.21807003,-29.920867919921875,927.77,3e-05,5.246722221374512,13,181523,13785,841321,212,,
2292.7612407200004,-27.962547302246094,920.62,3e-05,1.1973235607147217,13,184163,13975,843961,216,,
2287.65531463,-28.927539825439453,914.82,3e-05,3.146080493927002,13,187583,14228,847381,220,,
2251.89880563,-29.991531372070312,901.7,3e-05,2.7020974159240723,13,191086,14484,850884,224,,
2231.4131837899995,-29.868059158325195,899.97,3e-05,4.7788591384887695,13,194913,14762,854711,228,,
2257.3662736799997,-30.367576599121094,909.53,3e-05,4.585051536560059,13,198913,15048,858711,232,,
,-29.079998016357422,,3e-05,2.681767463684082,,200000,,859798,,2585.0054395999996,842.6
2256.24347441,-28.253116607666016,910.4,3e-05,1.6630463600158691,12,203000,15644,862798,236,,
2234.59102709,-28.132028579711914,901.11,3e-05,1.1642135381698608,12,206071,15851,865869,240,,
2249.11477865,-28.36526870727539,901.11,3e-05,1.0277661085128784,13,210071,16110,869869,244,,
2240.1277587299996,-28.971229553222656,892.62,3e-05,1.2922308444976807,13,213079,16307,872877,248,,
2265.3779481300003,-29.465240478515625,892.62,3e-05,0.8591493368148804,13,217079,16558,876877,252,,
2289.3445099399996,-29.789779663085938,892.61,3e-05,8.825029373168945,13,221079,16808,880877,256,,
2283.38111813,-29.800228118896484,884.09,3e-05,1.2705700397491455,13,224227,17007,884025,260,,
2311.96730786,-30.697952270507812,884.09,3e-05,4.186200141906738,13,228227,17267,888025,264,,
2313.13876713,-29.690967559814453,879.45,3e-05,1.7856054306030273,13,231763,17523,891561,268,,
2323.7628248299998,-30.969627380371094,879.45,3e-05,1.2898352146148682,13,235763,17812,895561,272,,
2286.9054862199996,-30.163475036621094,862.35,3e-05,1.774971842765808,13,238053,17973,897851,276,,
2303.17021745,-29.615514755249023,862.35,3e-05,2.007970094680786,13,242053,18260,901851,280,,
2292.07924443,-30.490266799926758,853.82,3e-05,1.1509472131729126,13,245200,18486,904998,284,,
2297.72448138,-29.766952514648438,849.06,3e-05,0.5763046145439148,13,248724,18742,908522,288,,
2329.217436,-30.216129302978516,855.68,3e-05,1.3592183589935303,13,252620,19021,912418,292,,
2334.6345769500003,-30.443124771118164,855.6,3e-05,8.871834754943848,13,255938,19264,915736,296,,
2352.4296998600003,-28.972400665283203,859.05,3e-05,0.8366883397102356,13,259228,19502,919026,300,,
2423.8943676799995,-30.20798683166504,881.5,3e-05,0.7597566843032837,13,263228,19795,923026,304,,
2447.80808644,-30.16024398803711,886.95,3e-05,0.8433860540390015,13,266606,20038,926404,308,,
2464.05729325,-30.933284759521484,889.44,3e-05,1.167353630065918,13,270467,20320,930265,312,,
2523.0253917299997,-30.257678985595703,903.04,3e-05,2.3839831352233887,13,274467,20588,934265,316,,
2535.9509080499997,-31.13072967529297,903.01,3e-05,0.48735958337783813,13,277884,20814,937682,320,,
2533.53502034,-30.02432632446289,899.75,3e-05,1.5393086671829224,13,281061,21028,940859,324,,
