time/episodes,train/critic_loss,time/time_elapsed,train/n_updates,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/actor_loss,eval/mean_ep_length,eval/mean_reward
,2.771209955215454,,99899,,,,100000,0.0002,-13.244855880737305,276.2,486.8543470000001
628,3.7626986503601074,9876,100114,10,207.38,156.27605487,100215,0.0002,-12.779784202575684,,
632,4.515447616577148,10010,101714,10,213.08,154.55656749,101815,0.0002,-13.768956184387207,,
636,4.975725173950195,10207,103883,10,214.63,154.6380041,103984,0.0002,-14.587414741516113,,
640,3.313358783721924,10235,104185,10,209.02,143.45333055,104286,0.0002,-14.838178634643555,,
644,8.114437103271484,10388,105687,10,219.61,158.80718051,105788,0.0002,-14.277942657470703,,
648,5.572922706604004,10459,106529,10,215.73,156.67015464999997,106630,0.0002,-13.436328887939453,,
652,6.239322185516357,10516,107265,10,217.13,158.6049433,107366,0.0002,-14.571622848510742,,
656,4.466611862182617,10536,107487,10,206.18,148.82500401,107588,0.0002,-14.615619659423828,,
660,5.43027400970459,10582,108095,10,191.31,131.47725266999998,108196,0.0002,-14.62141227722168,,
664,3.3304283618927,10625,108645,10,185.7,129.73748713999998,108746,0.0002,-14.639622688293457,,
668,4.623884201049805,10653,108970,10,182.84,121.15482908999998,109071,0.0002,-14.01015567779541,,
672,4.977762222290039,10671,109113,10,172.38,108.39418329000002,109214,0.0002,-14.886938095092773,,
676,4.74306583404541,10694,109396,10,173.45,110.63847548999998,109497,0.0002,-15.626232147216797,,
680,5.357623100280762,10806,110731,10,184.5,125.08481144000001,110832,0.0002,-15.721817970275879,,
684,4.151155948638916,10835,111076,10,185.37,126.57736667,111177,0.0002,-14.127786636352539,,
688,5.00924015045166,10904,111917,10,191.74,129.76624441,112018,0.0002,-15.761225700378418,,
692,5.565582275390625,10940,112358,10,191.69,129.94652449,112459,0.0002,-15.180214881896973,,
696,2.5340089797973633,10984,112826,10,188.55,130.42553194,112927,0.0002,-14.151084899902344,,
700,4.569708824157715,11014,113134,10,187.34,128.76751713000002,113235,0.0002,-15.547517776489258,,
704,3.5350403785705566,11044,113476,10,182.46,125.52845136000002,113577,0.0002,-15.71456527709961,,
708,4.533933639526367,11073,113835,10,183.25,129.00106721,113936,0.0002,-15.957626342773438,,
712,3.7492012977600098,11173,115069,10,181.31,138.14843621000003,115170,0.0002,-16.233386993408203,,
716,6.307651996612549,11223,115651,10,172.92,135.21012441000002,115752,0.0002,-12.550182342529297,,
720,4.760560989379883,11304,116635,10,181.1,147.82831645000002,116736,0.0002,-15.530828475952148,,
724,5.269190311431885,11419,118056,10,190.74,162.79658664000002,118157,0.0002,-16.107892990112305,,
728,2.652212381362915,11478,118705,10,185.91,160.68483444,118806,0.0002,-15.273042678833008,,
732,4.493678092956543,11579,119896,10,181.82,161.90133727999998,119997,0.0002,-16.810569763183594,,
736,5.543598651885986,11680,120989,10,171.06,156.93033936,121090,0.0002,-15.959835052490234,,
740,5.8114495277404785,11775,122111,10,179.26,176.34238317000003,122212,0.0002,-17.010440826416016,,
744,4.199263095855713,11847,122822,10,171.35,158.90393987999997,122923,0.0002,-15.945846557617188,,
748,4.436905860900879,11877,123201,10,166.72,144.73499817,123302,0.0002,-17.000381469726562,,
752,4.985528945922852,11969,124332,10,170.67,154.24539365,124433,0.0002,-16.169925689697266,,
756,3.3723185062408447,11988,124556,10,170.69,153.32486131,124657,0.0002,-15.631269454956055,,
760,3.475156307220459,12045,125219,10,171.24,158.45754646,125320,0.0002,-17.477031707763672,,
764,3.732576847076416,12111,125992,10,173.47,164.77894733999997,126093,0.0002,-15.4827299118042,,
768,4.204619407653809,12128,126189,10,172.19,164.74249032,126290,0.0002,-17.331714630126953,,
772,4.595308303833008,12174,126680,10,175.67,172.11576503000003,126781,0.0002,-15.540936470031738,,
776,4.304903030395508,12196,126947,10,175.51,172.30870764999997,127048,0.0002,-14.724739074707031,,
780,2.975785732269287,12307,128314,10,175.83,173.4103317,128415,0.0002,-16.98543930053711,,
784,5.356076240539551,12420,129577,10,185.01,189.53593326999996,129678,0.0002,-16.732105255126953,,
788,3.921743154525757,12459,130071,10,181.54,188.24088775,130172,0.0002,-17.966686248779297,,
792,5.037623405456543,12554,131138,10,187.8,201.18380124000004,131239,0.0002,-17.053329467773438,,
796,3.0177295207977295,12599,131554,10,187.28,201.23779923,131655,0.0002,-16.410520553588867,,
800,3.4572319984436035,12749,133309,10,201.75,227.95022213999994,133410,0.0002,-15.54617691040039,,
804,5.034299850463867,12797,133862,10,203.86,233.42753785999994,133963,0.0002,-16.79574203491211,,
808,4.514956951141357,12823,134145,10,203.1,232.85912776999993,134246,0.0002,-17.173198699951172,,
812,2.853275775909424,12919,135241,10,201.72,236.11264112,135342,0.0002,-16.89897918701172,,
816,3.66853666305542,12969,135750,10,200.99,238.60504836999996,135851,0.0002,-17.540817260742188,,
820,4.055595397949219,13062,136640,10,200.05,236.72303476999997,136741,0.0002,-15.99150562286377,,
824,3.7408435344696045,13131,137386,10,193.3,222.04467587,137487,0.0002,-19.198272705078125,,
828,4.152448654174805,13172,137753,10,190.48,209.88156653,137854,0.0002,-17.789766311645508,,
832,6.3331804275512695,13279,138885,10,189.89,205.36334385,138986,0.0002,-16.758216857910156,,
836,5.19873046875,13409,140223,10,192.34,202.31495058000002,140324,0.0002,-16.814300537109375,,
840,6.49444055557251,13622,142581,10,204.7,213.52209440000001,142682,0.0002,-18.230514526367188,,
844,4.364933967590332,13679,143137,10,203.15,217.97021428,143238,0.0002,-19.101776123046875,,
848,4.434367656707764,13721,143615,10,204.14,221.80173641000002,143716,0.0002,-16.40899658203125,,
852,3.8929519653320312,13815,144828,10,204.96,220.91708551999997,144929,0.0002,-16.695402145385742,,
856,4.088048934936523,13864,145432,10,208.76,225.30634161,145533,0.0002,-18.508071899414062,,
860,3.449284791946411,13900,145874,10,206.55,216.42111412000006,145975,0.0002,-19.918407440185547,,
864,3.3520262241363525,13940,146394,10,204.02,211.50335918000002,146495,0.0002,-18.5482234954834,,
868,4.5359015464782715,14032,147450,10,212.61,222.11771581999997,147551,0.0002,-17.856891632080078,,
872,4.077308654785156,14163,148738,10,220.58,227.52880942,148839,0.0002,-18.251285552978516,,
876,3.4482059478759766,14211,149238,10,222.91,229.67712270999996,149339,0.0002,-16.347354888916016,,
880,2.7377192974090576,14341,150602,10,222.88,230.78702075,150703,0.0002,-18.136306762695312,,
884,4.645810604095459,14475,152062,10,224.85,225.86083889000008,152163,0.0002,-17.548507690429688,,
888,6.705235481262207,14508,152365,10,222.94,225.51756688000006,152466,0.0002,-17.75263786315918,,
892,5.103511810302734,14517,152436,10,212.98,211.54653129,152537,0.0002,-18.10707664489746,,
896,4.178414344787598,14660,153867,10,223.13,217.43414435000003,153968,0.0002,-17.989391326904297,,
900,3.6658589839935303,14775,155138,10,218.29,213.05685300999997,155239,0.0002,-17.802501678466797,,
904,3.660170078277588,14897,156562,10,227.0,221.43668905999996,156663,0.0002,-19.012300491333008,,
908,4.263737678527832,15035,158091,10,239.46,247.04139059999997,158192,0.0002,-17.029193878173828,,
912,3.855280876159668,15093,158734,10,234.93,236.75318554999996,158835,0.0002,-18.51291847229004,,
916,3.6767773628234863,15196,159879,10,241.29,241.61105631,159980,0.0002,-17.919097900390625,,
920,2.974888801574707,15292,160809,10,241.69,250.82211303999998,160910,0.0002,-19.055133819580078,,
924,4.947196960449219,15494,163167,10,257.81,298.55540564,163268,0.0002,-18.482017517089844,,
928,4.270068645477295,15612,164361,10,266.08,325.87537275,164462,0.0002,-18.198143005371094,,
932,3.2501769065856934,15741,165742,10,268.57,340.30614003999995,165843,0.0002,-17.914276123046875,,
936,5.412387847900391,15841,166794,10,265.71,342.17442912,166895,0.0002,-18.769651412963867,,
940,5.226032733917236,15911,167607,10,250.26,322.58709216999995,167708,0.0002,-18.69872283935547,,
944,5.644453048706055,16066,169424,10,262.87,355.47486477000007,169525,0.0002,-18.502918243408203,,
948,2.840975761413574,16182,170618,10,270.03,369.9888164300001,170719,0.0002,-19.614248275756836,,
952,4.909760475158691,16257,171412,10,265.84,364.57889217,171513,0.0002,-19.157329559326172,,
