time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
67,14243,137216,9,16.56,-24.40984608,660,0.3,0.4826139211654663,-1.3772230744361877,-0.004568146345118285,0.10691406540572643,0.42456018924713135,0.00038918656,16.15134048461914,0.022186898,34.728565788269044,,
68,14474,139264,9,17.73,-21.57521962,670,0.3,0.48339203000068665,-1.3814753949642182,-0.0072586133214645136,0.05826822991948575,0.4390028119087219,0.00038902272000000004,16.07504653930664,0.016519153,32.58368816375732,,
,,140000,,,,680,0.3,0.483997106552124,-1.3841570615768433,-0.0049120030215999535,0.03981770905083977,0.433027982711792,0.00038885888,23.010967254638672,0.0061774263,48.41477451324463,-23.401797802001237,13.4
69,14713,141312,9,17.91,-19.438409210000003,,,,,,,,,,,,,
70,14946,143360,9,17.45,-23.482784559999995,690,0.3,0.47031646966934204,-1.3268881261348724,-0.0049629898054263325,0.03162760479608551,0.526416689157486,0.00038869504,17.391983032226562,0.0112042185,34.6938175201416,,
71,15186,145408,9,17.3,-21.21267736,700,0.3,0.4706467390060425,-1.329045969247818,-0.0012849455821560608,0.035299480508547275,0.5146827697753906,0.0003885312,17.7321834564209,0.030195333,34.78399219512939,,
72,15440,147456,9,18.46,-20.38591476,710,0.3,0.47121328115463257,-1.3306400954723359,-0.0072869927133433435,0.05518229262670502,0.5528309643268585,0.00038836736,17.306812286376953,0.016999807,37.761325645446775,,
73,15673,149504,9,17.63,-19.526369239999998,720,0.3,0.471727192401886,-1.3333591103553772,-0.0054180981969693676,0.0942708351649344,0.5771779716014862,0.00038820352,14.237364768981934,0.011811504,31.295178031921388,,
74,15911,151552,9,18.16,-21.417019989999993,730,0.3,0.47195810079574585,-1.3349467873573304,-0.004526234237418975,0.07563802370568737,0.5590328276157379,0.00038803968000000006,18.352806091308594,0.018440636,35.584692573547365,,
75,16129,153600,9,20.36,-17.342556119999998,740,0.3,0.4580300450325012,-1.2757305085659028,-0.0025568816083250566,0.06156250180792995,0.5263523459434509,0.00038787584000000004,17.284215927124023,0.012723956,39.87793731689453,,
76,16352,155648,9,19.56,-20.135765949999996,750,0.3,0.4576174318790436,-1.274832797050476,-0.008165548664983379,0.07032552253222094,0.5699841380119324,0.000387712,17.61939239501953,0.016019514,37.86472034454346,,
77,16555,157696,9,22.59,-12.90822453,760,0.3,0.458011269569397,-1.2744044959545135,-0.006416892345296221,0.10078125270083546,0.5698204934597015,0.00038754816000000005,16.940824508666992,0.013231549,36.9743896484375,,
78,16776,159744,9,20.77,-16.079888770000004,770,0.3,0.4583398103713989,-1.2764176726341248,-0.005075196428369966,0.05898437633295543,0.6090981960296631,0.00038738432,17.28398323059082,0.015918832,36.905700302124025,,
,,160000,,,,780,0.3,0.4582051634788513,-1.2769131302833556,-0.005133814224100241,0.035078126029111444,0.5676279962062836,0.00038722048,19.339448928833008,0.012125212,42.62434272766113,-8.592677830439062,31.2
79,17004,161792,9,21.53,-15.584048580000003,,,,,,,,,,,,,
80,17207,163840,9,24.11,-9.649393900000002,790,0.3,0.44480156898498535,-1.216417771577835,-0.0015394195082990337,0.1340625029144576,0.6296039521694183,0.00038705664000000003,16.588388442993164,0.07782163,36.51189746856689,,
81,17425,165888,9,27.4,-4.8902692100000005,800,0.3,0.44496381282806396,-1.2174689769744873,-0.000565679478459069,0.09644531478988938,0.6406862139701843,0.0003868928,18.39065170288086,0.034296125,40.87999382019043,,
82,17626,167936,9,27.68,-6.196468130000002,810,0.3,0.44536370038986206,-1.2185466825962066,0.011537404851987931,0.22138021234422922,0.6208602488040924,0.00038672896,13.287494659423828,0.061273053,31.57617053985596,,
83,17817,169984,9,27.53,-2.25798071,820,0.3,0.4453505277633667,-1.2198533236980438,-0.004764131937408833,0.09730468972120435,0.6072923839092255,0.00038656512,19.109954833984375,0.015869655,42.839897537231444,,
84,17993,172032,9,30.21,2.3533111200000003,830,0.3,0.44516313076019287,-1.219125461578369,-0.0062476491171401085,0.05382812592724804,0.6266582310199738,0.00038640128,18.413026809692383,0.012567544,39.754042053222655,,
85,18185,174080,9,31.61,-5.1780526799999995,840,0.3,0.4319427013397217,-1.1585588335990906,-0.007978543504577829,0.07055989769287407,0.6588193774223328,0.00038623744,14.713311195373535,0.027568799,34.276271152496335,,
86,18379,176128,9,27.91,-10.697810830000003,850,0.3,0.43219345808029175,-1.1587923288345336,-0.008356769997626533,0.09842448108829557,0.696174681186676,0.00038607360000000006,19.463993072509766,0.020711087,42.748821067810056,,
87,18591,178176,9,24.52,-9.49340775,860,0.3,0.4323095679283142,-1.1601541101932527,-0.005559046046692018,0.0464062518090941,0.6579678356647491,0.00038590976000000003,17.597320556640625,0.017046744,37.483729934692384,,
,,180000,,,,870,0.3,0.4322361350059509,-1.1601816594600678,-0.006149401030124757,0.08386718979163561,0.6178343594074249,0.00038574592,21.43452262878418,0.026340058,43.90636672973633,8.669186105020344,39.0
88,18803,180224,9,29.77,-5.07832553,,,,,,,,,,,,,
89,19008,182272,9,26.36,-9.418275449999998,880,0.3,0.41967499256134033,-1.1000530183315278,0.02294460241973866,0.2575260456651449,0.7081821262836456,0.00038558208000000004,17.03619384765625,0.21847795,36.824191093444824,,
90,19208,184320,9,29.72,-7.929903999999998,890,0.3,0.4203619360923767,-1.1023575246334076,0.037756763221696035,0.33829427845776083,0.6660197377204895,0.00038541824,16.873682022094727,0.113955885,37.986416816711426,,
91,19407,186368,9,27.64,-15.883327220000002,900,0.3,0.4214046597480774,-1.1062948107719421,0.03891042429371738,0.3614843837916851,0.5327365398406982,0.0003852544,21.619522094726562,0.07787886,40.20620861053467,,
92,19603,188416,9,28.9,-13.97850706,910,0.3,0.42228230834007263,-1.111183339357376,-0.000868998490914219,0.13572916947305202,0.40598100423812866,0.00038509056,15.77311897277832,0.03977256,33.67685661315918,,
93,19787,190464,9,32.48,-8.26025435,920,0.3,0.42277178168296814,-1.1145114719867706,-0.009035400149296002,0.15571615062654018,0.5627882480621338,0.00038492672,15.641953468322754,0.025612202,31.889395236968994,,
94,19965,192512,9,34.9,-2.943073639999999,930,0.3,0.4105621576309204,-1.0562263667583465,-0.008452228430542164,0.15440104421286377,0.5950463712215424,0.00038476288,15.265463829040527,0.026794333,32.2587968826294,,
95,20180,194560,9,36.29,1.94760587,940,0.3,0.41116684675216675,-1.0580038666725158,0.015832339930348095,0.2780599042773247,0.5874134600162506,0.00038459904,17.013277053833008,0.050289676,36.89371585845947,,
96,20369,196608,9,35.42,-0.9993363500000012,950,0.3,0.4115452766418457,-1.0610917389392853,0.021398857177991882,0.21886719162575902,0.6141629815101624,0.0003844352,19.5762882232666,0.02152816,39.146978759765624,,
97,20553,198656,9,37.2,1.34327798,960,0.3,0.4113926887512207,-1.0615461230278016,-0.01646595502446866,0.10220052432268859,0.6018818318843842,0.00038427136,16.75914764404297,0.03019746,33.49558324813843,,
,,200000,,,,970,0.3,0.41117823123931885,-1.0605442941188812,-0.009946857901813932,0.08464843928813934,0.6208511590957642,0.00038410752000000005,17.35745620727539,0.020493664,35.77468376159668,39.009109816513956,50.2
98,20759,200704,9,37.23,5.6714261299999995,,,,,,,,,,,,,
99,20939,202752,9,37.93,7.876195159999998,980,0.3,0.39936238527297974,-1.0004485487937926,-0.009534573862038088,0.09276041846314911,0.5800134837627411,0.00038394368000000003,20.12002182006836,0.024526086,38.3489429473877,,
100,21116,204800,9,38.9,10.097941999999996,990,0.3,0.39959028363227844,-1.002560794353485,-0.008384538945720133,0.06923177218995988,0.670510858297348,0.00038377984,15.772884368896484,0.021481525,33.34266681671143,,
101,21295,206848,9,41.33,12.038397410000002,1000,0.3,0.3995611071586609,-1.0030420541763305,-0.00971015325631015,0.08346354383975267,0.6347055733203888,0.00038361600000000004,16.618688583374023,0.02218965,36.332044982910155,,
102,21480,208896,9,42.01,9.325915880000002,1010,0.3,0.3996443748474121,-1.0030059933662414,-0.011358286283793895,0.09230469027534127,0.6015474498271942,0.00038345216,18.724136352539062,0.018802358,40.3769229888916,,
103,21650,210944,9,45.64,18.11855612,1020,0.3,0.399549663066864,-1.0033064603805542,-0.0069790422330697766,0.06231771036982536,0.6171295344829559,0.00038328832,18.938880920410156,0.013659272,39.10605812072754,,
104,21823,212992,9,48.24,29.484068719999996,1030,0.3,0.38733989000320435,-0.9420847088098526,-0.008054316269408446,0.08045573126291856,0.6883306503295898,0.00038312448,14.04357624053955,0.020663708,30.477515316009523,,
105,21997,215040,9,50.54,35.06960907,1040,0.3,0.387453556060791,-0.9408503383398056,-0.009350538518338003,0.10579427452757954,0.6533049941062927,0.00038296064,18.94845962524414,0.02851981,37.60498905181885,,
106,22163,217088,9,57.62,49.95722473,1050,0.3,0.3873811960220337,-0.9416439712047577,-0.007322194579173824,0.09871093975380063,0.6494055092334747,0.0003827968,17.371723175048828,0.033250537,35.29877681732178,,
107,22328,219136,9,63.99,60.25131538999999,1060,0.3,0.3876485824584961,-0.9413240641355515,0.06368163610342889,0.46186199113726617,0.6648289561271667,0.00038263296000000006,14.207320213317871,0.15786055,31.824040126800536,,
,,220000,,,,1070,0.3,0.38814109563827515,-0.9438582926988601,0.0534375032223761,0.3926953237503767,0.699843019247055,0.00038246912000000004,13.85109806060791,0.05240145,30.551821422576904,125.71831712648273,81.4
108,22525,221184,9,71.84,78.28924359,,,,,,,,,,,,,
109,22691,223232,9,72.02,79.54268563000001,1080,0.3,0.37719520926475525,-0.8863104969263077,0.01183648654841818,0.23980469331145288,0.6913221180438995,0.00038230528,13.84581184387207,0.022482485,28.223794078826906,,
110,22857,225280,9,70.97,76.19798085000001,1090,0.3,0.3773268461227417,-0.8884141921997071,0.0006295514853263739,0.15580729506909846,0.6833354830741882,0.00038214144000000004,16.975210189819336,0.04010416,36.51102905273437,,
111,23025,227328,9,63.44,63.53280358,1100,0.3,0.37683922052383423,-0.8876076072454453,-0.005516841015778429,0.11733073284849524,0.6772451400756836,0.0003819776,15.393444061279297,0.022430908,33.494078540802,,
