train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.0003,4.337058067321777,9,14176,14277,232,-6.111565589904785,76.81,1445,32.58901221,,
0.0003,10.766457557678223,9,14436,14537,236,-6.862528324127197,77.12,1466,35.15904773,,
0.0003,5.828211784362793,9,14995,15096,240,-7.663126468658447,81.21,1511,38.3377552,,
0.0003,4.989720344543457,10,15427,15528,244,-6.039355278015137,83.41,1546,43.03071545000001,,
0.0003,5.878870010375977,10,15934,16035,248,-7.394661903381348,86.7,1588,46.99718081000001,,
0.0003,5.269238471984863,10,16445,16546,252,-8.318477630615234,89.2,1636,50.291100109999995,,
0.0003,6.66063117980957,10,16797,16898,256,-8.366052627563477,89.49,1664,49.519431109999985,,
0.0003,7.638588905334473,10,17401,17502,260,-7.181450843811035,92.63,1716,55.15194704,,
0.0003,6.054490089416504,10,18106,18207,264,-9.165043830871582,95.63,1770,56.9619577,,
0.0003,4.218338966369629,10,19522,19623,268,-10.05625057220459,107.53,1878,68.37912665,,
0.0003,4.382253646850586,10,21027,21128,272,-10.732961654663086,118.27,2006,73.72010547,,
0.0003,5.172168731689453,10,23310,23411,276,-11.08476448059082,137.63,2220,69.39221640000001,,
0.0003,5.082181930541992,10,23493,23594,280,-11.185697555541992,137.97,2239,68.28729548,,
0.0003,2.7346839904785156,10,24237,24338,284,-10.962292671203613,141.56,2308,74.75025665,,
0.0003,4.779214859008789,10,25396,25497,288,-10.476116180419922,150.49,2414,76.33030993999999,,
0.0003,7.145845413208008,10,26765,26866,292,-10.072860717773438,163.26,2557,77.52774223,,
0.0003,6.761569976806641,10,27076,27177,296,-10.309844970703125,164.04,2588,70.029717,,
0.0003,10.538900375366211,10,27664,27765,300,-10.57503890991211,166.41,2653,72.17026691000001,,
0.0003,6.445772647857666,10,28200,28301,304,-10.998050689697266,168.87,2705,75.19948084,,
0.0003,6.784680366516113,10,28384,28485,308,-11.530899047851562,166.9,2724,72.60833544,,
0.0003,7.160614967346191,10,28506,28607,312,-11.41215705871582,165.03,2739,69.93602263,,
0.0003,11.426509857177734,10,28898,28999,316,-9.246910095214844,166.0,2780,65.39241415000001,,
0.0003,7.108612537384033,10,29053,29154,320,-10.379894256591797,163.94,2795,59.633875610000004,,
0.0003,5.551854133605957,10,30471,30572,324,-11.525649070739746,173.84,2937,65.39161261,,
0.0003,7.802285194396973,10,31220,31321,328,-10.69479751586914,176.41,3024,56.757563819999994,,
0.0003,5.006460189819336,10,31646,31747,332,-10.776540756225586,174.7,3059,54.75904989,,
0.0003,6.399293899536133,10,33333,33434,336,-11.71310806274414,188.97,3191,54.17096207,,
0.0003,5.607585906982422,10,34139,34240,340,-11.591934204101562,191.44,3250,45.379153210000005,,
0.0003,3.4871084690093994,10,34579,34680,344,-10.509882926940918,191.52,3288,41.253579179999996,,
0.0003,5.134925842285156,10,34985,35086,348,-12.014808654785156,190.51,3320,34.87705490999999,,
0.0003,7.186861038208008,10,35942,36043,352,-10.436837196350098,194.97,3400,26.039753769999997,,
0.0003,7.033885955810547,10,36685,36786,356,-11.165214538574219,198.88,3465,16.201977019999994,,
0.0003,6.207733154296875,10,37397,37498,360,-10.401762962341309,199.96,3525,17.948859489999997,,
